confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,177,,33A-aar,{},,,24,24
,,170,,33A-abi,{},,,102,102
,,170,,33A-abk,{},,,190,190
,,175,,33A-abv,{},,,443,443
,,177,,33A-abu,{},,,381,381
,,177,,33A-ace,{},,,492,492
,,170,,33A-acg,{},,,562,562
,,174,,33A-acl,{},,,609,609
,,170,,33A-aco,{},,,733,733
,,177,,33A-adg,{},,,836,836
,,169,,33A-adi,{},,,868,868
,,175,,33A-agc,{},,,1239,1239
,,175,,33A-agd,{},,,1273,1273
,,170,,33A-ain,{},,,1493,1493
,,176,,33A-ajg,{},,,1634,1634
,,174,,33A-akn,{},,,1729,1729
,,176,,33A-ala,{},,,1835,1835
,,169,,33A-alw,{},,,2210,2210
,,170,,33A-alb,{},,,1951,1951
,,170,,33A-ale,{},,,2046,2046
,,170,,33A-aln,{},,,2136,2136
,,177,,33A-aly,{},,,2247,2247
,,177,,33A-amn,{},,,2710,2710
,,175,,33A-aml,{},,,2662,2662
,,176,,33A-amq,{},,,2852,2852
,,174,,33A-ame,{},,,2418,2418
,,170,,33A-amh,{},,,2553,2553
,,169,,33A-amo,{},,,2751,2751
,,170,,33A-amx,{},,,3025,3025
,,169,,33A-anj,{},,,3327,3327
,,176,,33A-agm,{},,,1337,1337
,,175,,33A-anc,{},,,3172,3172
,,170,,33A-agt,{},,,1388,1388
,,169,,33A-ann,{},,,3375,3375
,,176,,33A-anu,{},,,3434,3434
,,169,,33A-ayi,{},,,5376,5376
,,170,,33A-any,{},,,3471,3471
,,170,,33A-ao,{},,,3521,3521
,,175,,33A-apl,{},,,3651,3651
,,175,,33A-apt,{},,,3706,3706
,,175,,33A-api,{},,,3622,3622
,,170,,33A-apu,{},,,3774,3774
,,170,,33A-abn,{},,,334,334
,,174,,33A-aeg,{},,,1063,1063
,,174,,33A-arg,{},,,4055,4055
,,174,,33A-arq,{},,,4458,4458
,,174,,33A-arj,{},,,4119,4119
,,174,,33A-amr,{},,,2890,2890
,,174,,33A-asy,{},,,4731,4731
,,175,,33A-ana,{},,,3088,3088
,,170,,33A-arp,{},,,4368,4368
,,170,,33A-ara,{},,,3910,3910
,,170,,33A-arc,{},,,4002,4002
,,170,,33A-arm,{},,,4187,4187
,,170,,33A-arw,{},,,4503,4503
