confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,268,,51A-aar,{},,,27,27
,,276,,51A-abi,{},,,110,110
,,276,,51A-abk,{},,,206,206
,,276,,51A-abv,{},,,444,444
,,276,,51A-abu,{},,,389,389
,,276,,51A-ace,{},,,501,501
,,276,,51A-acg,{},,,563,563
,,276,,51A-acl,{},,,611,611
,,268,,51A-acu,{},,,816,816
,,268,,51A-acm,{},,,658,658
,,276,,51A-adg,{},,,838,838
,,276,,51A-adi,{},,,871,871
,,268,,51A-ady,{},,,952,952
,,268,,51A-adn,{},,,933,933
,,268,,51A-aga,{},,,1195,1195
,,276,,51A-agc,{},,,1241,1241
,,276,,51A-ain,{},,,1508,1508
,,276,,51A-ajg,{},,,1635,1635
,,276,,51A-akn,{},,,1732,1732
,,276,,51A-akh,{},,,1672,1672
,,268,,51A-all,{},,,2102,2102
,,273,,51A-ala,{},,,1852,1852
,,268,,51A-alw,{},,,2211,2211
,,268,,51A-alb,{},,,1960,1960
,,268,,51A-ale,{},,,2051,2051
,,276,,51A-aln,{},,,2139,2139
,,268,,51A-aly,{},,,2253,2253
,,276,,51A-amc,{},,,2357,2357
,,268,,51A-amn,{},,,2713,2713
,,276,,51A-aml,{},,,2665,2665
,,273,,51A-amb,{},,,2313,2313
,,276,,51A-ame,{},,,2436,2436
,,268,,51A-amh,{},,,2563,2563
,,268,,51A-adk,{},,,919,919
,,276,,51A-anj,{},,,3332,3332
,,276,,51A-anc,{},,,3173,3173
,,276,,51A-ang,{},,,3251,3251
,,268,,51A-agt,{},,,1391,1391
,,275,,51A-ann,{},,,3376,3376
,,276,,51A-anu,{},,,3437,3437
,,276,,51A-any,{},,,3476,3476
,,273,,51A-ao,{},,,3526,3526
,,268,,51A-apw,{},,,3872,3872
,,276,,51A-apl,{},,,3657,3657
,,276,,51A-apt,{},,,3707,3707
,,276,,51A-api,{},,,3623,3623
,,273,,51A-apu,{},,,3791,3791
,,268,,51A-abn,{},,,341,341
,,276,,51A-aeg,{},,,1080,1080
,,276,,51A-arg,{},,,4061,4061
,,274,,51A-arq,{},,,4461,4461
,,268,,51A-ams,{},,,2948,2948
,,276,,51A-amr,{},,,2893,2893
,,274,,51A-asy,{},,,4734,4734
,,268,,51A-ana,{},,,3100,3100
,,276,,51A-arp,{},,,4382,4382
,,276,,51A-ara,{},,,3916,3916
,,268,,51A-arc,{},,,4005,4005
,,268,,51A-arm,{},,,4202,4202
,,268,,51A-arw,{},,,4506,4506
,,273,,51A-amp,{},,,2803,2803
