confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,597,,112A-aar,{},,,44,44
,,598,,112A-abi,{},,,143,143
,,597,,112A-abk,{},,,271,271
,,599,,112A-abv,{},,,461,461
,,602,,112A-abu,{},,,421,421
,,597,,112A-acu,{},,,825,825
,,599,,112A-acm,{},,,673,673
,,598,,112A-aco,{},,,796,796
,,598,,112A-adg,{},,,853,853
,,597,,112A-adi,{},,,892,892
,,598,,112A-adn,{},,,946,946
,,597,,112A-adz,{},,,1000,1000
,,598,,112A-agh,{},,,1318,1318
,,599,,112A-agc,{},,,1257,1257
,,598,,112A-agd,{},,,1284,1284
,,598,,112A-ain,{},,,1569,1569
,,598,,112A-ajg,{},,,1653,1653
,,597,,112A-akn,{},,,1761,1761
,,600,,112A-akh,{},,,1694,1694
,,598,,112A-all,{},,,2120,2120
,,598,,112A-ala,{},,,1907,1907
,,598,,112A-alw,{},,,2235,2235
,,598,,112A-alb,{},,,2002,2002
,,598,,112A-alc,{},,,2027,2027
,,598,,112A-aln,{},,,2155,2155
,,597,,112A-aly,{},,,2278,2278
,,597,,112A-amc,{},,,2373,2373
,,602,,112A-amn,{},,,2726,2726
,,602,,112A-aml,{},,,2690,2690
,,598,,112A-amq,{},,,2875,2875
,,598,,112A-amb,{},,,2332,2332
,,597,,112A-amt,{},,,2988,2988
,,598,,112A-ame,{},,,2501,2501
,,602,,112A-amh,{},,,2606,2606
,,602,,112A-amo,{},,,2765,2765
,,602,,112A-amx,{},,,3036,3036
,,598,,112A-anj,{},,,3359,3359
,,598,,112A-ane,{},,,3232,3232
,,600,,112A-anc,{},,,3193,3193
,,597,,112A-ang,{},,,3270,3270
,,598,,112A-ani,{},,,3318,3318
,,598,,112A-ann,{},,,3387,3387
,,598,,112A-anu,{},,,3456,3456
,,597,,112A-ao,{},,,3550,3550
,,602,,112A-apw,{},,,3887,3887
,,597,,112A-apl,{},,,3684,3684
,,597,,112A-apt,{},,,3728,3728
,,598,,112A-apu,{},,,3847,3847
,,598,,112A-abn,{},,,358,358
,,598,,112A-aeg,{},,,1143,1143
,,598,,112A-arg,{},,,4092,4092
,,597,,112A-arq,{},,,4480,4480
,,598,,112A-arj,{},,,4138,4138
,,602,,112A-amr,{},,,2926,2926
,,598,,112A-asy,{},,,4756,4756
,,602,,112A-ana,{},,,3143,3143
,,598,,112A-aab,{},,,10,10
,,598,,112A-arp,{},,,4429,4429
,,598,,112A-ara,{},,,3945,3945
,,597,,112A-arc,{},,,4030,4030
,,601,,112A-arm,{},,,4263,4263
,,599,,112A-arw,{},,,4531,4531
,,598,,112A-alk,{},,,2088,2088
,,597,,112A-amp,{},,,2826,2826
,,597,,112A-awe,{},,,5129,5129
,,598,,112A-asm,{},,,4649,4649
,,597,,112A-ass,{},,,4693,4693
,,602,,112A-asu,{},,,4714,4714
,,597,,112A-ath,{},,,4863,4863
,,598,,112A-au,{},,,4967,4967
,,599,,112A-ava,{},,,5028,5028
,,598,,112A-awa,{},,,5094,5094
,,602,,112A-awp,{},,,5265,5265
,,597,,112A-awt,{},,,5347,5347
,,598,,112A-aym,{},,,5466,5466
,,597,,112A-azi,{},,,5588,5588
,,597,,112A-aze,{},,,5555,5555
,,597,,112A-bbl,{},,,6434,6434
,,602,,112A-bab,{},,,5689,5689
,,598,,112A-bdm,{},,,6644,6644
,,602,,112A-baf,{},,,5794,5794
,,598,,112A-bag,{},,,5910,5910
,,598,,112A-bgr,{},,,7146,7146
,,600,,112A-bai,{},,,5973,5973
,,598,,112A-bwc,{},,,10441,10441
,,598,,112A-bka,{},,,7559,7559
,,597,,112A-bku,{},,,7762,7762
,,597,,112A-blz,{},,,8024,8024
,,600,,112A-bvi,{},,,10397,10397
,,598,,112A-bnn,{},,,8331,8331
,,598,,112A-bao,{},,,6176,6176
,,597,,112A-brl,{},,,9009,9009
,,598,,112A-baa,{},,,5630,5630
,,597,,112A-bbu,{},,,6469,6469
,,597,,112A-brs,{},,,9396,9396
,,597,,112A-mug,{},,,46104,46104
,,598,,112A-bar,{},,,6251,6251
,,597,,112A-bsk,{},,,9545,9545
,,598,,112A-bsq,{},,,9676,9676
,,600,,112A-bkr,{},,,7707,7707
,,598,,112A-bto,{},,,9828,9828
,,602,,112A-ble,{},,,7841,7841
,,598,,112A-baq,{},,,6206,6206
,,598,,112A-bzi,{},,,10535,10535
,,600,,112A-baw,{},,,6372,6372
,,597,,112A-bej,{},,,6780,6780
,,597,,112A-bel,{},,,6839,6839
,,598,,112A-blr,{},,,7924,7924
,,598,,112A-ben,{},,,6902,6902
,,598,,112A-bfg,{},,,7032,7032
,,598,,112A-bma,{},,,8132,8132
,,598,,112A-brf,{},,,8800,8800
,,597,,112A-zag,{},,,75685,75685
,,597,,112A-ber,{},,,6963,6963
,,597,,112A-bti,{},,,9735,9735
,,598,,112A-bik,{},,,7355,7355
,,602,,112A-bid,{},,,7271,7271
,,597,,112A-bia,{},,,7243,7243
,,597,,112A-bln,{},,,7889,7889
,,598,,112A-blx,{},,,7991,7991
,,598,,112A-bmb,{},,,8175,8175
,,598,,112A-bbw,{},,,6524,6524
,,598,,112A-bii,{},,,7314,7314
,,598,,112A-bir,{},,,7486,7486
,,597,,112A-biu,{},,,7526,7526
,,597,,112A-bla,{},,,7804,7804
,,597,,112A-boa,{},,,8407,8407
,,602,,112A-bob,{},,,8429,8429
,,602,,112A-bbf,{},,,6412,6412
,,602,,112A-boi,{},,,8492,8492
,,597,,112A-bol,{},,,8551,8551
,,598,,112A-bgo,{},,,7109,7109
,,599,,112A-btk,{},,,9769,9769
,,597,,112A-boj,{},,,8506,8506
,,597,,112A-brr,{},,,9294,9294
,,597,,112A-brh,{},,,8903,8903
,,602,,112A-bre,{},,,8753,8753
,,598,,112A-bri,{},,,8970,8970
,,598,,112A-bud,{},,,9919,9919
,,597,,112A-bgn,{},,,7086,7086
,,598,,112A-bun,{},,,10101,10101
,,598,,112A-bnu,{},,,8381,8381
,,598,,112A-bul,{},,,10037,10037
,,602,,112A-buy,{},,,10364,10364
,,598,,112A-bum,{},,,10080,10080
,,600,,112A-pnu,{},,,54885,54885
,,598,,112A-bua,{},,,9873,9873
,,597,,112A-but,{},,,10310,10310
,,602,,112A-brm,{},,,9128,9128
,,597,,112A-brn,{},,,9193,9193
,,597,,112A-bur,{},,,10214,10214
,,600,,112A-bus,{},,,10263,10263
,,597,,112A-bsh,{},,,9477,9477
,,597,,112A-bya,{},,,10492,10492
,,598,,112A-cah,{},,,10661,10661
,,602,,112A-cak,{},,,10749,10749
,,602,,112A-cml,{},,,12909,12909
,,598,,112A-cax,{},,,11059,11059
,,597,,112A-cam,{},,,10794,10794
,,597,,112A-cnm,{},,,13268,13268
,,597,,112A-can,{},,,10818,10818
,,598,,112A-cnl,{},,,13221,13221
,,598,,112A-cnt,{},,,13348,13348
,,597,,112A-crp,{},,,14035,14035
,,597,,112A-car,{},,,10919,10919
,,597,,112A-cde,{},,,11387,11387
,,597,,112A-cas,{},,,10960,10960
,,598,,112A-ctl,{},,,14216,14216
,,597,,112A-cay,{},,,11103,11103
,,597,,112A-cyv,{},,,14600,14600
,,597,,112A-cbo,{},,,11189,11189
,,597,,112A-cga,{},,,11502,11502
,,597,,112A-chh,{},,,11857,11857
,,598,,112A-cai,{},,,10708,10708
,,602,,112A-chb,{},,,11661,11661
,,598,,112A-cha,{},,,11623,11623
,,597,,112A-chg,{},,,11817,11817
,,597,,112A-chn,{},,,12127,12127
,,598,,112A-cso,{},,,14111,14111
,,598,,112A-cya,{},,,14495,14495
,,598,,112A-chc,{},,,11707,11707
,,597,,112A-cmh,{},,,12877,12877
,,597,,112A-cpn,{},,,13758,13758
,,597,,112A-cic,{},,,12554,12554
,,597,,112A-chi,{},,,11899,11899
,,597,,112A-ccm,{},,,11257,11257
,,598,,112A-cle,{},,,12774,12774
,,597,,112A-cpl,{},,,13721,13721
,,598,,112A-ckl,{},,,12639,12639
,,600,,112A-chs,{},,,12334,12334
,,598,,112A-cti,{},,,14162,14162
,,598,,112A-cpy,{},,,13787,13787
,,598,,112A-chp,{},,,12185,12185
,,597,,112A-cqt,{},,,13807,13807
,,597,,112A-ctm,{},,,14268,14268
,,597,,112A-cct,{},,,11348,11348
,,597,,112A-cln,{},,,12818,12818
,,598,,112A-chx,{},,,12496,12496
,,598,,112A-cmy,{},,,13107,13107
,,600,,112A-chr,{},,,12290,12290
,,598,,112A-chk,{},,,12058,12058
,,597,,112A-cba,{},,,11146,11146
,,597,,112A-chv,{},,,12421,12421
,,597,,112A-coa,{},,,13380,13380
,,600,,112A-coc,{},,,13419,13419
,,598,,112A-cmn,{},,,13011,13011
,,598,,112A-coo,{},,,13563,13563
,,597,,112A-cop,{},,,13617,13617
,,598,,112A-crn,{},,,13990,13990
,,598,,112A-cre,{},,,13907,13907
,,598,,112A-cea,{},,,11410,11410
,,597,,112A-cub,{},,,14351,14351
,,602,,112A-cui,{},,,14377,14377
,,598,,112A-cup,{},,,14429,14429
,,597,,112A-cze,{},,,14655,14655
,,598,,112A-dag,{},,,14781,14781
,,598,,112A-dga,{},,,15165,15165
,,598,,112A-dgb,{},,,15217,15217
,,598,,112A-dan,{},,,14876,14876
,,598,,112A-dni,{},,,16340,16340
,,598,,112A-dsh,{},,,16752,16752
,,597,,112A-drm,{},,,16700,16700
,,602,,112A-deg,{},,,15019,15019
,,597,,112A-des,{},,,15091,15091
,,597,,112A-deu,{},,,15128,15128
,,602,,112A-dha,{},,,15343,15343
,,598,,112A-dhw,{},,,15440,15440
,,598,,112A-dhr,{},,,15427,15427
,,597,,112A-dhm,{},,,15399,15399
,,597,,112A-dhi,{},,,15375,15375
,,599,,112A-did,{},,,15470,15470
,,599,,112A-die,{},,,15538,15538
,,597,,112A-dig,{},,,15590,15590
,,597,,112A-dms,{},,,16238,16238
,,597,,112A-dim,{},,,15620,15620
,,599,,112A-din,{},,,15671,15671
,,597,,112A-dio,{},,,15767,15767
,,598,,112A-diy,{},,,15841,15841
,,598,,112A-dja,{},,,15912,15912
,,598,,112A-djp,{},,,16060,16060
,,598,,112A-djn,{},,,16011,16011
,,598,,112A-dji,{},,,15954,15954
,,598,,112A-dmk,{},,,16211,16211
,,601,,112A-dom,{},,,16408,16408
,,598,,112A-dgo,{},,,15255,15255
,,597,,112A-dds,{},,,14990,14990
,,602,,112A-doy,{},,,16518,16518
,,600,,112A-dre,{},,,16616,16616
,,598,,112A-dua,{},,,16795,16795
,,598,,112A-duk,{},,,16839,16839
,,597,,112A-dul,{},,,16868,16868
,,597,,112A-dmi,{},,,16187,16187
,,598,,112A-dum,{},,,16916,16916
,,601,,112A-dun,{},,,16953,16953
,,598,,112A-dut,{},,,17027,17027
,,598,,112A-dyi,{},,,17125,17125
,,602,,112A-erk,{},,,17891,17891
,,597,,112A-efi,{},,,17203,17203
,,598,,112A-ega,{},,,17223,17223
,,598,,112A-eip,{},,,17303,17303
,,598,,112A-eka,{},,,17392,17392
,,602,,112A-eko,{},,,17413,17413
,,597,,112A-emb,{},,,17450,17450
,,602,,112A-eme,{},,,17493,17493
,,599,,112A-ene,{},,,17542,17542
,,598,,112A-eno,{},,,17734,17734
,,598,,112A-eng,{},,,17669,17669
,,597,,112A-eny,{},,,17745,17745
,,597,,112A-epe,{},,,17846,17846
,,597,,112A-err,{},,,17945,17945
,,598,,112A-ese,{},,,17985,17985
,,598,,112A-est,{},,,18061,18061
,,598,,112A-eud,{},,,18099,18099
,,602,,112A-evn,{},,,18301,18301
,,602,,112A-eve,{},,,18227,18227
,,602,,112A-ewe,{},,,18415,18415
,,598,,112A-ewo,{},,,18481,18481
,,599,,112A-fin,{},,,18830,18830
,,600,,112A-fon,{},,,18917,18917
,,598,,112A-fre,{},,,19098,19098
,,597,,112A-fua,{},,,19213,19213
,,597,,112A-ful,{},,,19268,19268
,,602,,112A-fur,{},,,19347,19347
,,599,,112A-fut,{},,,19405,19405
,,598,,112A-fye,{},,,19474,19474
,,597,,112A-ga,{},,,19516,19516
,,598,,112A-gaa,{},,,19541,19541
,,598,,112A-gds,{},,,20039,20039
,,598,,112A-gae,{},,,19590,19590
,,597,,112A-gah,{},,,19638,19638
,,597,,112A-gal,{},,,19666,19666
,,598,,112A-gap,{},,,19740,19740
,,598,,112A-grf,{},,,21432,21432
,,597,,112A-gar,{},,,19837,19837
,,598,,112A-grr,{},,,21702,21702
,,598,,112A-grs,{},,,21712,21712
,,598,,112A-gbs,{},,,19978,19978
,,598,,112A-gbb,{},,,19931,19931
,,598,,112A-geo,{},,,20195,20195
,,598,,112A-ger,{},,,20347,20347
,,597,,112A-gim,{},,,20513,20513
,,597,,112A-god,{},,,21008,21008
,,600,,112A-goe,{},,,21039,21039
,,598,,112A-gok,{},,,21084,21084
,,597,,112A-gln,{},,,20713,20713
,,597,,112A-gon,{},,,21131,21131
,,598,,112A-goo,{},,,21248,21248
,,599,,112A-grb,{},,,21375,21375
,,598,,112A-grk,{},,,21605,21605
,,597,,112A-grw,{},,,21829,21829
,,597,,112A-gjj,{},,,20589,20589
,,602,,112A-gua,{},,,21981,21981
,,598,,112A-grj,{},,,21480,21480
,,598,,112A-gud,{},,,22049,22049
,,601,,112A-gug,{},,,22086,22086
,,598,,112A-guh,{},,,22107,22107
,,598,,112A-guj,{},,,22143,22143
,,598,,112A-gmw,{},,,20784,20784
,,602,,112A-gnb,{},,,20854,20854
,,598,,112A-gnn,{},,,20903,20903
,,597,,112A-gku,{},,,20621,20621
,,598,,112A-ggu,{},,,20406,20406
,,597,,112A-gur,{},,,22261,22261
,,598,,112A-guu,{},,,22316,22316
,,602,,112A-gwa,{},,,22384,22384
,,597,,112A-gyc,{},,,22449,22449
,,602,,112A-hai,{},,,22557,22557
,,602,,112A-hal,{},,,22643,22643
,,599,,112A-hlu,{},,,23811,23811
,,597,,112A-ham,{},,,22713,22713
,,597,,112A-har,{},,,22760,22760
,,598,,112A-hat,{},,,22824,22824
,,598,,112A-hau,{},,,22952,22952
,,598,,112A-haw,{},,,23057,23057
,,597,,112A-hya,{},,,24891,24891
,,598,,112A-hay,{},,,23105,23105
,,602,,112A-hdi,{},,,23160,23160
,,598,,112A-heb,{},,,23277,23277
,,597,,112A-heh,{},,,23324,23324
,,597,,112A-hid,{},,,23411,23411
,,598,,112A-hil,{},,,23438,23438
,,598,,112A-hin,{},,,23563,23563
,,597,,112A-hix,{},,,23708,23708
,,600,,112A-hma,{},,,23843,23843
,,600,,112A-hmo,{},,,24003,24003
,,597,,112A-hol,{},,,24230,24230
,,597,,112A-hua,{},,,24451,24451
,,599,,112A-hlp,{},,,23767,23767
,,600,,112A-htc,{},,,24392,24392
,,598,,112A-hve,{},,,24837,24837
,,597,,112A-hui,{},,,24511,24511
,,597,,112A-hmi,{},,,23895,23895
,,597,,112A-hum,{},,,24563,24563
,,597,,112A-hnd,{},,,24121,24121
,,598,,112A-hun,{},,,24694,24694
,,597,,112A-hzb,{},,,24999,24999
,,597,,112A-hpd,{},,,24328,24328
,,598,,112A-hup,{},,,24773,24773
,,600,,112A-iaa,{},,,25080,25080
,,600,,112A-iba,{},,,25172,25172
,,598,,112A-ice,{},,,25242,25242
,,602,,112A-ido,{},,,25306,25306
,,597,,112A-idu,{},,,25322,25322
,,602,,112A-ifm,{},,,25347,25347
,,598,,112A-ige,{},,,25504,25504
,,599,,112A-ign,{},,,25546,25546
,,601,,112A-ijo,{},,,25659,25659
,,598,,112A-ik,{},,,25722,25722
,,597,,112A-ika,{},,,25829,25829
,,597,,112A-ila,{},,,25873,25873
,,598,,112A-imo,{},,,26010,26010
,,597,,112A-ina,{},,,26055,26055
,,600,,112A-ind,{},,,26189,26189
,,598,,112A-igs,{},,,25588,25588
,,597,,112A-ing,{},,,26317,26317
,,598,,112A-iqu,{},,,26411,26411
,,597,,112A-irx,{},,,26737,26737
,,597,,112A-irq,{},,,26640,26640
,,598,,112A-irr,{},,,26697,26697
,,598,,112A-iri,{},,,26511,26511
,,598,,112A-isa,{},,,26771,26771
,,598,,112A-ita,{},,,26863,26863
,,602,,112A-ite,{},,,26932,26932
,,598,,112A-iwm,{},,,27044,27044
,,602,,112A-kwy,{},,,35846,35846
,,602,,112A-izi,{},,,27101,27101
,,598,,112A-jab,{},,,27143,27143
,,598,,112A-jak,{},,,27275,27275
,,597,,112A-jms,{},,,27678,27678
,,597,,112A-jpn,{},,,27879,27879
,,598,,112A-jaq,{},,,27379,27379
,,598,,112A-jar,{},,,27407,27407
,,597,,112A-jeb,{},,,27494,27494
,,600,,112A-jng,{},,,27730,27730
,,597,,112A-jiv,{},,,27582,27582
,,600,,112A-juh,{},,,28039,28039
,,600,,112A-juk,{},,,28093,28093
,,598,,112A-jmo,{},,,27637,27637
,,597,,112A-kab,{},,,28214,28214
,,597,,112A-kby,{},,,28905,28905
,,602,,112A-kbl,{},,,28796,28796
,,597,,112A-kac,{},,,28247,28247
,,598,,112A-kdz,{},,,29042,29042
,,597,,112A-kdw,{},,,29017,29017
,,598,,112A-kad,{},,,28281,28281
,,597,,112A-kgr,{},,,29727,29727
,,598,,112A-krr,{},,,34539,34539
,,598,,112A-kae,{},,,28301,28301
,,598,,112A-kls,{},,,31499,31499
,,598,,112A-kmk,{},,,31919,31919
,,597,,112A-kll,{},,,31369,31369
,,597,,112A-kma,{},,,31723,31723
,,598,,112A-kmz,{},,,32221,32221
,,597,,112A-kba,{},,,28766,28766
,,597,,112A-kbo,{},,,28823,28823
,,597,,112A-kmi,{},,,31842,31842
,,597,,112A-kmr,{},,,32041,32041
,,598,,112A-kan,{},,,28415,28415
,,602,,112A-knk,{},,,32560,32560
,,597,,112A-knd,{},,,32406,32406
,,598,,112A-knb,{},,,32249,32249
,,597,,112A-knr,{},,,32847,32847
,,601,,112A-krc,{},,,34011,34011
,,598,,112A-krj,{},,,34202,34202
,,598,,112A-kar,{},,,28463,28463
,,597,,112A-kkp,{},,,31130,31130
,,602,,112A-kbw,{},,,28880,28880
,,602,,112A-ksg,{},,,34828,34828
,,601,,112A-kmj,{},,,31873,31873
,,601,,112A-kyr,{},,,36200,36200
,,598,,112A-kaa,{},,,28162,28162
,,602,,112A-krk,{},,,34298,34298
,,597,,112A-kas,{},,,28537,28537
,,599,,112A-ktc,{},,,34952,34952
,,598,,112A-kti,{},,,34988,34988
,,602,,112A-ktl,{},,,35035,35035
,,598,,112A-kau,{},,,28598,28598
,,597,,112A-kyz,{},,,36229,36229
,,600,,112A-kyl,{},,,36093,36093
,,597,,112A-kay,{},,,28722,28722
,,598,,112A-kel,{},,,29131,29131
,,597,,112A-kem,{},,,29165,29165
,,598,,112A-ken,{},,,29199,29199
,,598,,112A-ker,{},,,29285,29285
,,598,,112A-ksa,{},,,34665,34665
,,597,,112A-kew,{},,,29525,29525
,,597,,112A-khl,{},,,30109,30109
,,597,,112A-khg,{},,,30037,30037
,,597,,112A-kha,{},,,29956,29956
,,597,,112A-kmh,{},,,31824,31824
,,597,,112A-khd,{},,,30003,30003
,,597,,112A-knz,{},,,32918,32918
,,598,,112A-kty,{},,,35126,35126
,,598,,112A-khr,{},,,30426,30426
,,600,,112A-khs,{},,,30530,30530
,,597,,112A-kik,{},,,30626,30626
,,598,,112A-klv,{},,,31608,31608
,,598,,112A-klw,{},,,31655,31655
,,597,,112A-kil,{},,,30650,30650
,,600,,112A-kim,{},,,30685,30685
,,597,,112A-kga,{},,,29691,29691
,,598,,112A-knn,{},,,32703,32703
,,597,,112A-kin,{},,,30719,30719
,,602,,112A-kio,{},,,30824,30824
,,597,,112A-kri,{},,,34180,34180
,,600,,112A-krb,{},,,33967,33967
,,600,,112A-kir,{},,,30875,30875
,,602,,112A-kis,{},,,30943,30943
,,602,,112A-kiw,{},,,31012,31012
,,598,,112A-klm,{},,,31430,31430
,,597,,112A-koa,{},,,33031,33031
,,597,,112A-kob,{},,,33153,33153
,,599,,112A-koe,{},,,33216,33216
,,597,,112A-kmo,{},,,31977,31977
,,598,,112A-koi,{},,,33265,33265
,,597,,112A-kta,{},,,34920,34920
,,597,,112A-kok,{},,,33297,33297
,,600,,112A-kkt,{},,,31179,31179
,,599,,112A-kol,{},,,33344,33344
,,597,,112A-kmb,{},,,31775,31775
,,599,,112A-xbi,{},,,73288,73288
,,599,,112A-kop,{},,,33496,33496
,,599,,112A-kzy,{},,,36279,36279
,,599,,112A-kom,{},,,33389,33389
,,602,,112A-kon,{},,,33454,33454
,,597,,112A-knw,{},,,32897,32897
,,598,,112A-kni,{},,,32504,32504
,,600,,112A-krn,{},,,34360,34360
,,598,,112A-kor,{},,,33609,33609
,,598,,112A-kfe,{},,,29650,29650
,,602,,112A-krw,{},,,34580,34580
,,602,,112A-kry,{},,,34628,34628
,,598,,112A-kos,{},,,33690,33690
,,597,,112A-koy,{},,,33764,33764
,,598,,112A-kse,{},,,34765,34765
,,600,,112A-kch,{},,,28983,28983
,,597,,112A-krh,{},,,34142,34142
,,598,,112A-kre,{},,,34111,34111
,,602,,112A-kro,{},,,34471,34471
,,598,,112A-knc,{},,,32284,32284
,,597,,112A-klg,{},,,31341,31341
,,597,,112A-kmn,{},,,31946,31946
,,598,,112A-kum,{},,,35207,35207
,,597,,112A-kun,{},,,35237,35237
,,597,,112A-knm,{},,,32664,32664
,,597,,112A-kmp,{},,,32020,32020
,,598,,112A-kuo,{},,,35288,35288
,,597,,112A-krd,{},,,34078,34078
,,597,,112A-kus,{},,,35329,35329
,,598,,112A-kut,{},,,35451,35451
,,598,,112A-thy,{},,,65039,65039
,,597,,112A-kuv,{},,,35513,35513
,,598,,112A-kwa,{},,,35568,35568
,,598,,112A-kwn,{},,,35676,35676
,,597,,112A-kwz,{},,,35889,35889
,,597,,112A-kwo,{},,,35724,35724
,,598,,112A-kwt,{},,,35818,35818
,,597,,112A-kgy,{},,,29795,29795
,,599,,112A-kyq,{},,,36175,36175
,,598,,112A-laa,{},,,36315,36315
,,598,,112A-lab,{},,,36343,36343
,,598,,112A-lac,{},,,36372,36372
,,597,,112A-lad,{},,,36455,36455
,,598,,112A-lag,{},,,36500,36500
,,600,,112A-lai,{},,,36643,36643
,,598,,112A-lkt,{},,,38453,38453
,,600,,112A-lal,{},,,36747,36747
,,598,,112A-lmg,{},,,38567,38567
,,598,,112A-lmn,{},,,38668,38668
,,602,,112A-lmu,{},,,38735,38735
,,597,,112A-lmp,{},,,38711,38711
,,597,,112A-lgi,{},,,37952,37952
,,598,,112A-lan,{},,,36882,36882
,,600,,112A-lao,{},,,36940,36940
,,598,,112A-lar,{},,,36979,36979
,,597,,112A-lat,{},,,37089,37089
,,601,,112A-lav,{},,,37223,37223
,,597,,112A-leb,{},,,37431,37431
,,597,,112A-leg,{},,,37472,37472
,,597,,112A-agb,{},,,1225,1225
,,597,,112A-lec,{},,,37456,37456
,,598,,112A-lel,{},,,37522,37522
,,597,,112A-llm,{},,,38520,38520
,,602,,112A-len,{},,,37585,37585
,,598,,112A-ldu,{},,,37402,37402
,,602,,112A-lng,{},,,38805,38805
,,602,,112A-lep,{},,,37675,37675
,,597,,112A-les,{},,,37709,37709
,,597,,112A-let,{},,,37737,37737
,,597,,112A-lez,{},,,37903,37903
,,601,,112A-lho,{},,,38046,38046
,,602,,112A-lim,{},,,38152,38152
,,602,,112A-lnd,{},,,38775,38775
,,598,,112A-lin,{},,,38193,38193
,,600,,112A-lis,{},,,38232,38232
,,597,,112A-lit,{},,,38311,38311
,,598,,112A-lgt,{},,,37985,37985
,,597,,112A-ldo,{},,,37366,37366
,,600,,112A-lgu,{},,,38023,38023
,,598,,112A-lon,{},,,38859,38859
,,597,,112A-lot,{},,,38896,38896
,,602,,112A-lou,{},,,38924,38924
,,597,,112A-luc,{},,,39010,39010
,,597,,112A-lda,{},,,37336,37336
,,600,,112A-lug,{},,,39079,39079
,,598,,112A-lui,{},,,39140,39140
,,602,,112A-lbu,{},,,37290,37290
,,598,,112A-luo,{},,,39220,39220
,,598,,112A-kkv,{},,,31264,31264
,,602,,112A-luv,{},,,39357,39357
,,602,,112A-ma,{},,,39401,39401
,,598,,112A-maa,{},,,39463,39463
,,597,,112A-mab,{},,,39548,39548
,,598,,112A-mcd,{},,,41328,41328
,,598,,112A-mch,{},,,41354,41354
,,598,,112A-mac,{},,,39629,39629
,,598,,112A-mda,{},,,41454,41454
,,598,,112A-mad,{},,,39680,39680
,,598,,112A-mdm,{},,,41603,41603
,,600,,112A-mae,{},,,39718,39718
,,597,,112A-mag,{},,,39744,39744
,,598,,112A-mgi,{},,,42227,42227
,,597,,112A-mne,{},,,43886,43886
,,597,,112A-mrs,{},,,45355,45355
,,602,,112A-msn,{},,,45778,45778
,,599,,112A-maj,{},,,39832,39832
,,602,,112A-mkz,{},,,43144,43144
,,600,,112A-mkj,{},,,42991,42991
,,598,,112A-mkl,{},,,43013,43013
,,597,,112A-mkd,{},,,42866,42866
,,597,,112A-mua,{},,,46081,46081
,,598,,112A-mal,{},,,40052,40052
,,598,,112A-mlk,{},,,43281,43281
,,597,,112A-mym,{},,,47195,47195
,,598,,112A-mlu,{},,,43379,43379
,,597,,112A-mlg,{},,,43220,43220
,,598,,112A-mam,{},,,40129,40129
,,598,,112A-mmn,{},,,43501,43501
,,597,,112A-mmw,{},,,43560,43560
,,597,,112A-mmv,{},,,43542,43542
,,598,,112A-mnm,{},,,43995,43995
,,597,,112A-nmm,{},,,50540,50540
,,597,,112A-mnc,{},,,43658,43658
,,602,,112A-mdn,{},,,41635,41635
,,598,,112A-mnd,{},,,43790,43790
,,600,,112A-mmb,{},,,43414,43414
,,598,,112A-myi,{},,,47123,47123
,,598,,112A-mbt,{},,,41220,41220
,,598,,112A-mgg,{},,,42196,42196
,,599,,112A-man,{},,,40170,40170
,,598,,112A-mns,{},,,44090,44090
,,600,,112A-mao,{},,,40296,40296
,,597,,112A-map,{},,,40433,40433
,,598,,112A-mra,{},,,44923,44923
