confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,385,,78A-abi,{},,,118,118
,,386,,78A-abk,{},,,233,233
,,386,,78A-acm,{},,,661,661
,,386,,78A-aco,{},,,769,769
,,388,,78A-afr,{},,,1190,1190
,,385,,78A-agr,{},,,1380,1380
,,386,,78A-ain,{},,,1534,1534
,,386,,78A-akh,{},,,1675,1675
,,386,,78A-abm,{},,,321,321
,,385,,78A-ala,{},,,1873,1873
,,385,,78A-alw,{},,,2223,2223
,,386,,78A-alb,{},,,1979,1979
,,386,,78A-amc,{},,,2361,2361
,,386,,78A-amd,{},,,2383,2383
,,385,,78A-ame,{},,,2464,2464
,,386,,78A-amu,{},,,3015,3015
,,386,,78A-adk,{},,,924,924
,,385,,78A-agt,{},,,1395,1395
,,386,,78A-apc,{},,,3602,3602
,,388,,78A-apl,{},,,3667,3667
,,386,,78A-apu,{},,,3811,3811
,,385,,78A-aeg,{},,,1105,1105
,,386,,78A-arg,{},,,4072,4072
,,388,,78A-ana,{},,,3116,3116
,,386,,78A-aho,{},,,1427,1427
,,385,,78A-arp,{},,,4399,4399
,,386,,78A-arc,{},,,4012,4012
,,386,,78A-akr,{},,,1785,1785
,,387,,78A-arw,{},,,4511,4511
,,386,,78A-asm,{},,,4616,4616
,,385,,78A-awp,{},,,5232,5232
,,386,,78A-aym,{},,,5440,5440
,,385,,78A-baa,{},,,5610,5610
,,387,,78A-brs,{},,,9361,9361
,,388,,78A-bsq,{},,,9638,9638
,,385,,78A-bkr,{},,,7675,7675
,,388,,78A-baq,{},,,6192,6192
,,385,,78A-baw,{},,,6342,6342
,,388,,78A-bej,{},,,6755,6755
,,386,,78A-bco,{},,,6584,6584
,,385,,78A-beb,{},,,6678,6678
,,385,,78A-bse,{},,,9453,9453
,,388,,78A-blx,{},,,7975,7975
,,385,,78A-bla,{},,,7785,7785
,,386,,78A-bor,{},,,8587,8587
,,385,,78A-brh,{},,,8879,8879
,,385,,78A-bre,{},,,8734,8734
,,385,,78A-bdk,{},,,6623,6623
,,387,,78A-bul,{},,,10013,10013
,,385,,78A-brm,{},,,9090,9090
,,385,,78A-bur,{},,,10178,10178
,,386,,78A-cah,{},,,10630,10630
,,385,,78A-cax,{},,,11040,11040
,,385,,78A-can,{},,,10808,10808
,,385,,78A-cnl,{},,,13190,13190
,,388,,78A-cnt,{},,,13325,13325
,,387,,78A-crp,{},,,14029,14029
,,387,,78A-car,{},,,10894,10894
,,385,,78A-cyv,{},,,14576,14576
,,388,,78A-cbo,{},,,11173,11173
,,388,,78A-cha,{},,,11587,11587
,,386,,78A-cco,{},,,11272,11272
,,385,,78A-cso,{},,,14092,14092
,,387,,78A-chc,{},,,11687,11687
,,386,,78A-chl,{},,,12097,12097
,,385,,78A-cmh,{},,,12859,12859
,,386,,78A-che,{},,,11761,11761
,,385,,78A-cjo,{},,,12611,12611
,,386,,78A-ccm,{},,,11238,11238
,,385,,78A-cle,{},,,12743,12743
,,385,,78A-ckl,{},,,12625,12625
,,386,,78A-cku,{},,,12662,12662
,,386,,78A-chp,{},,,12172,12172
,,388,,78A-ctm,{},,,14252,14252
,,386,,78A-cct,{},,,11324,11324
,,385,,78A-crt,{},,,14048,14048
,,385,,78A-chr,{},,,12265,12265
,,385,,78A-chk,{},,,12022,12022
,,386,,78A-coc,{},,,13403,13403
,,388,,78A-coe,{},,,13437,13437
,,386,,78A-cmn,{},,,12977,12977
,,388,,78A-coo,{},,,13535,13535
,,388,,78A-cor,{},,,13648,13648
,,385,,78A-dag,{},,,14750,14750
,,388,,78A-dni,{},,,16311,16311
,,386,,78A-den,{},,,15037,15037
,,385,,78A-die,{},,,15519,15519
,,385,,78A-dio,{},,,15738,15738
,,390,,78A-diy,{},,,15820,15820
,,385,,78A-djp,{},,,16049,16049
,,385,,78A-dre,{},,,16587,16587
,,388,,78A-dmi,{},,,16176,16176
,"<div class=""example"">    <table border=""0"">            <tr>        <td>          <p>Het moet een goede film zijn. </p>        </td>      </tr>      <tr>        <td>          <p>‘It is said to be a good film/ It appears to be a good film.’ </p>        </td>      </tr>    </table>  </div>  ",389,,78A-dut,{},,,17000,17000
,,385,,78A-dyi,{},,,17104,17104
,,387,,78A-eka,{},,,17381,17381
,,385,,78A-eng,{},,,17631,17631
,,388,,78A-epe,{},,,17813,17813
,,388,,78A-ese,{},,,17972,17972
,,386,,78A-est,{},,,18041,18041
,,387,,78A-eve,{},,,18190,18190
,,385,,78A-ewe,{},,,18381,18381
,,386,,78A-fas,{},,,18540,18540
,,385,,78A-fij,{},,,18644,18644
,,389,,78A-fin,{},,,18792,18792
,,385,,78A-for,{},,,18941,18941
,,386,,78A-fox,{},,,18960,18960
,,389,,78A-fre,{},,,19061,19061
,,385,,78A-fur,{},,,19321,19321
,,387,,78A-gag,{},,,19617,19617
,,386,,78A-grf,{},,,21414,21414
,,386,,78A-gar,{},,,19807,19807
,,390,,78A-geo,{},,,20159,20159
,,389,,78A-ger,{},,,20308,20308
,,387,,78A-god,{},,,20987,20987
,,389,,78A-goo,{},,,21217,21217
,,385,,78A-grb,{},,,21340,21340
,,385,,78A-grk,{},,,21567,21567
,,386,,78A-gso,{},,,21863,21863
,,386,,78A-grw,{},,,21793,21793
,,388,,78A-gjj,{},,,20573,20573
,,388,,78A-gua,{},,,21950,21950
,,385,,78A-gum,{},,,22206,22206
,,386,,78A-gny,{},,,20911,20911
,,385,,78A-guu,{},,,22297,22297
,,387,,78A-hai,{},,,22528,22528
,,388,,78A-hlu,{},,,23792,23792
,,388,,78A-ham,{},,,22692,22692
,,385,,78A-hau,{},,,22914,22914
,,385,,78A-heb,{},,,23240,23240
,,386,,78A-hid,{},,,23397,23397
,,385,,78A-hin,{},,,23527,23527
,,386,,78A-hix,{},,,23672,23672
,,385,,78A-hmo,{},,,23969,23969
,,388,,78A-hop,{},,,24266,24266
,,386,,78A-hlp,{},,,23756,23756
,,385,,78A-hmi,{},,,23880,23880
,,385,,78A-hun,{},,,24657,24657
,,387,,78A-hzb,{},,,24967,24967
,,386,,78A-hup,{},,,24754,24754
,,385,,78A-igb,{},,,25441,25441
,,385,,78A-ign,{},,,25535,25535
,,390,,78A-ika,{},,,25795,25795
