confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,342,,65A-abi,{},,,112,112
,,341,,65A-abk,{},,,220,220
,,342,,65A-aco,{},,,756,756
,,342,,65A-afr,{},,,1185,1185
,,342,,65A-ain,{},,,1521,1521
,,341,,65A-akn,{},,,1736,1736
,,341,,65A-ala,{},,,1863,1863
,,341,,65A-alw,{},,,2216,2216
,,341,,65A-aly,{},,,2258,2258
,,342,,65A-ame,{},,,2451,2451
,,342,,65A-amh,{},,,2572,2572
,,342,,65A-apu,{},,,3800,3800
,,341,,65A-aeg,{},,,1092,1092
,,341,,65A-atu,{},,,4929,4929
,,342,,65A-ana,{},,,3103,3103
,,342,,65A-arp,{},,,4389,4389
,,341,,65A-arm,{},,,4214,4214
,,342,,65A-asm,{},,,4604,4604
,,342,,65A-atc,{},,,4829,4829
,,341,,65A-avo,{},,,5056,5056
,,341,,65A-awp,{},,,5219,5219
,,342,,65A-awn,{},,,5160,5160
,,341,,65A-aze,{},,,5540,5540
,,341,,65A-bag,{},,,5866,5866
,,342,,65A-blc,{},,,7817,7817
,,341,,65A-bnj,{},,,8277,8277
,,342,,65A-brs,{},,,9348,9348
,,342,,65A-bar,{},,,6226,6226
,,341,,65A-bsq,{},,,9625,9625
,,341,,65A-bej,{},,,6745,6745
,,342,,65A-ben,{},,,6891,6891
,,341,,65A-bma,{},,,8087,8087
,,342,,65A-bon,{},,,8565,8565
,,341,,65A-brh,{},,,8867,8867
,,341,,65A-bul,{},,,10003,10003
,,342,,65A-bui,{},,,9963,9963
,,341,,65A-but,{},,,10290,10290
,,342,,65A-brm,{},,,9077,9077
,,341,,65A-bur,{},,,10167,10167
,,342,,65A-cnl,{},,,13180,13180
,,341,,65A-cnt,{},,,13314,13314
,,341,,65A-ceb,{},,,11429,11429
,,341,,65A-cbo,{},,,11167,11167
,,341,,65A-cha,{},,,11576,11576
,,341,,65A-cpn,{},,,13738,13738
,,342,,65A-cyn,{},,,14511,14511
,,342,,65A-cpl,{},,,13698,13698
,,341,,65A-chk,{},,,12009,12009
,,341,,65A-cuu,{},,,14448,14448
,,342,,65A-coc,{},,,13397,13397
,,342,,65A-cre,{},,,13873,13873
,,342,,65A-dag,{},,,14739,14739
,,341,,65A-dni,{},,,16298,16298
,,342,,65A-did,{},,,15451,15451
,,342,,65A-dio,{},,,15727,15727
,,341,,65A-egn,{},,,17244,17244
,,342,,65A-eng,{},,,17618,17618
,,341,,65A-eve,{},,,18177,18177
,,342,,65A-ewe,{},,,18369,18369
,,342,,65A-fij,{},,,18631,18631
,,342,,65A-fin,{},,,18779,18779
,,341,,65A-fre,{},,,19048,19048
,,341,,65A-grf,{},,,21408,21408
,,341,,65A-geo,{},,,20147,20147
,,342,,65A-ger,{},,,20295,20295
,,342,,65A-goo,{},,,21206,21206
,,341,,65A-grb,{},,,21329,21329
,,341,,65A-grk,{},,,21554,21554
,,342,,65A-grw,{},,,21780,21780
,,342,,65A-gua,{},,,21940,21940
,,342,,65A-gug,{},,,22074,22074
,,342,,65A-hal,{},,,22623,22623
,,342,,65A-hau,{},,,22901,22901
,,341,,65A-haw,{},,,23029,23029
,,341,,65A-hwc,{},,,24861,24861
,,342,,65A-heb,{},,,23227,23227
,,341,,65A-hin,{},,,23514,23514
,,341,,65A-hix,{},,,23661,23661
,,342,,65A-hmo,{},,,23958,23958
,,342,,65A-hun,{},,,24644,24644
,,342,,65A-ice,{},,,25211,25211
,,341,,65A-imo,{},,,25965,25965
,,342,,65A-ind,{},,,26138,26138
,,342,,65A-ins,{},,,26366,26366
,,342,,65A-ise,{},,,26783,26783
,,341,,65A-jak,{},,,27225,27225
,,342,,65A-jpn,{},,,27828,27828
,,342,,65A-jav,{},,,27441,27441
,,342,,65A-jiv,{},,,27569,27569
,,341,,65A-juh,{},,,27997,27997
,,341,,65A-knk,{},,,32538,32538
,,342,,65A-knd,{},,,32355,32355
,,341,,65A-knr,{},,,32797,32797
,,342,,65A-krk,{},,,34260,34260
,,342,,65A-kay,{},,,28674,28674
,,341,,65A-ket,{},,,29357,29357
,,342,,65A-kew,{},,,29479,29479
,,342,,65A-kha,{},,,29907,29907
,,342,,65A-khm,{},,,30168,30168
,,342,,65A-kmu,{},,,32127,32127
,,341,,65A-kik,{},,,30604,30604
,,341,,65A-kio,{},,,30781,30781
,,342,,65A-koa,{},,,32986,32986
,,341,,65A-kor,{},,,33558,33558
,,341,,65A-kse,{},,,34716,34716
,,342,,65A-kfc,{},,,29553,29553
,,341,,65A-kro,{},,,34423,34423
,,342,,65A-kui,{},,,35156,35156
,,342,,65A-kya,{},,,35963,35963
,,341,,65A-kji,{},,,31054,31054
,,342,,65A-kut,{},,,35403,35403
,,342,,65A-lah,{},,,36546,36546
,,342,,65A-lai,{},,,36615,36615
,,342,,65A-lkt,{},,,38406,38406
,,341,,65A-lan,{},,,36833,36833
,,342,,65A-lao,{},,,36918,36918
,,342,,65A-lat,{},,,37040,37040
,,342,,65A-lav,{},,,37175,37175
,,341,,65A-lez,{},,,37854,37854
,,342,,65A-lda,{},,,37319,37319
,,342,,65A-luv,{},,,39312,39312
,,342,,65A-mne,{},,,43860,43860
,,342,,65A-mai,{},,,39775,39775
,,341,,65A-mak,{},,,39882,39882
,,341,,65A-mal,{},,,40003,40003
,,341,,65A-mlt,{},,,43336,43336
,,341,,65A-mnd,{},,,43741,43741
,,342,,65A-myi,{},,,47076,47076
,,342,,65A-man,{},,,40150,40150
,,342,,65A-mao,{},,,40246,40246
,,342,,65A-map,{},,,40388,40388
,,341,,65A-mrg,{},,,45042,45042
,,342,,65A-mar,{},,,40529,40529
,,342,,65A-mrt,{},,,45427,45427
,,341,,65A-mau,{},,,40690,40690
,,342,,65A-may,{},,,40890,40890
,,342,,65A-mei,{},,,41924,41924
,,341,,65A-mxc,{},,,46696,46696
,,342,,65A-mtg,{},,,45942,45942
,,342,,65A-mtu,{},,,46038,46038
,,341,,65A-mwe,{},,,46557,46557
,,341,,65A-nak,{},,,47540,47540
,,341,,65A-kho,{},,,30308,30308
,,342,,65A-ntu,{},,,51264,51264
,,341,,65A-nbr,{},,,48169,48169
,,341,,65A-ngm,{},,,49334,49334
,,342,,65A-ngi,{},,,49139,49139
,,342,,65A-nca,{},,,48230,48230
,,342,,65A-nim,{},,,49939,49939
,,342,,65A-niv,{},,,50094,50094
,,341,,65A-ond,{},,,52444,52444
,,342,,65A-ono,{},,,52575,52575
,,341,,65A-ood,{},,,52610,52610
,,341,,65A-orh,{},,,52761,52761
,,342,,65A-pai,{},,,53441,53441
,,342,,65A-plg,{},,,54464,54464
,,341,,65A-pnn,{},,,54771,54771
,,341,,65A-pan,{},,,53615,53615
,,341,,65A-prs,{},,,55586,55586
,,341,,65A-prh,{},,,55412,55412
,,341,,65A-por,{},,,55197,55197
,,341,,65A-bng,{},,,8236,8236
,,342,,65A-qco,{},,,56374,56374
,,342,,65A-qim,{},,,56518,56518
,,342,,65A-ram,{},,,56802,56802
,,342,,65A-rap,{},,,56955,56955
,,342,,65A-raw,{},,,57066,57066
,,341,,65A-ren,{},,,57158,57158
,,341,,65A-rom,{},,,57493,57493
,,341,,65A-ruk,{},,,57783,57783
,,341,,65A-rus,{},,,57953,57953
,,342,,65A-san,{},,,58432,58432
,,342,,65A-snm,{},,,60932,60932
,,342,,65A-sml,{},,,60588,60588
,,341,,65A-snc,{},,,60751,60751
,,341,,65A-ses,{},,,59103,59103
,,341,,65A-shu,{},,,59721,59721
,,341,,65A-sla,{},,,60273,60273
,,342,,65A-som,{},,,61318,61318
,,341,,65A-spa,{},,,61516,61516
,,342,,65A-sue,{},,,62246,62246
,,342,,65A-sun,{},,,62397,62397
,,341,,65A-sup,{},,,62507,62507
,,342,,65A-swa,{},,,62744,62744
,,342,,65A-swe,{},,,62847,62847
,,341,,65A-tag,{},,,63248,63248
,,341,,65A-tah,{},,,63341,63341
,,342,,65A-tml,{},,,66170,66170
,,342,,65A-tga,{},,,64505,64505
,,341,,65A-tem,{},,,64247,64247
,,342,,65A-tne,{},,,66530,66530
,,341,,65A-tny,{},,,66731,66731
,,342,,65A-tha,{},,,64804,64804
,,342,,65A-tgr,{},,,64700,64700
,,342,,65A-tig,{},,,65243,65243
,,342,,65A-tiw,{},,,65539,65539
,,341,,65A-toj,{},,,66829,66829
,,342,,65A-tpi,{},,,67104,67104
,,341,,65A-tug,{},,,68210,68210
,,342,,65A-tuc,{},,,68160,68160
,,342,,65A-tuk,{},,,68285,68285
,,341,,65A-tur,{},,,68582,68582
,,342,,65A-udm,{},,,69350,69350
,,341,,65A-uyg,{},,,70267,70267
,,342,,65A-vie,{},,,70540,70540
,,342,,65A-wra,{},,,72570,72570
,,342,,65A-war,{},,,71149,71149
,,342,,65A-wch,{},,,71464,71464
,,341,,65A-wic,{},,,71779,71779
,,341,,65A-wly,{},,,72166,72166
,,342,,65A-wlf,{},,,72045,72045
,,341,,65A-wor,{},,,72489,72489
,,341,,65A-ygr,{},,,74175,74175
,,341,,65A-yag,{},,,73471,73471
,,341,,65A-yaq,{},,,73775,73775
,,342,,65A-yes,{},,,74128,74128
,,342,,65A-yor,{},,,74963,74963
,,341,,65A-yct,{},,,74030,74030
,,342,,65A-yko,{},,,74605,74605
,,341,,65A-zqc,{},,,76074,76074
,,341,,65A-zul,{},,,76253,76253
,,342,,65A-zun,{},,,76373,76373
