confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,204,,38A-aar,{},,,26,26
,,202,,38A-abk,{},,,195,195
,,201,,38A-abu,{},,,384,384
,,205,,38A-ace,{},,,495,495
,,205,,38A-aco,{},,,738,738
,,204,,38A-adi,{},,,870,870
,,204,,38A-ala,{},,,1840,1840
,,201,,38A-alb,{},,,1954,1954
,,205,,38A-aln,{},,,2138,2138
,,205,,38A-amc,{},,,2356,2356
,,205,,38A-amn,{},,,2712,2712
,,201,,38A-amq,{},,,2854,2854
,,205,,38A-amb,{},,,2309,2309
,,201,,38A-ame,{},,,2423,2423
,,202,,38A-amh,{},,,2557,2557
,,201,,38A-anj,{},,,3329,3329
,,202,,38A-agm,{},,,1339,1339
,,205,,38A-ang,{},,,3250,3250
,,201,,38A-anu,{},,,3436,3436
,,205,,38A-any,{},,,3473,3473
,,202,,38A-ao,{},,,3523,3523
,,205,,38A-apl,{},,,3654,3654
,,205,,38A-apu,{},,,3779,3779
,,204,,38A-aeg,{},,,1068,1068
,,204,,38A-arg,{},,,4057,4057
,,201,,38A-arq,{},,,4460,4460
,,204,,38A-arj,{},,,4121,4121
,,203,,38A-amr,{},,,2892,2892
,,204,,38A-asy,{},,,4733,4733
,,205,,38A-ana,{},,,3092,3092
,,201,,38A-arp,{},,,4371,4371
,,202,,38A-ara,{},,,3913,3913
,,202,,38A-arc,{},,,4004,4004
,,201,,38A-arm,{},,,4192,4192
,,201,,38A-arw,{},,,4505,4505
,,201,,38A-aro,{},,,4297,4297
,,204,,38A-ata,{},,,4788,4788
,,205,,38A-au,{},,,4942,4942
,,205,,38A-awp,{},,,5200,5200
,,202,,38A-awt,{},,,5310,5310
,,202,,38A-aym,{},,,5416,5416
,,202,,38A-azi,{},,,5573,5573
,,204,,38A-bab,{},,,5651,5651
,,204,,38A-bag,{},,,5848,5848
,,202,,38A-bwc,{},,,10420,10420
,,201,,38A-blt,{},,,7936,7936
,,204,,38A-bbu,{},,,6452,6452
,,205,,38A-bar,{},,,6220,6220
,,204,,38A-brp,{},,,9215,9215
,,205,,38A-bsk,{},,,9518,9518
,,202,,38A-bsq,{},,,9597,9597
,,204,,38A-bkr,{},,,7649,7649
,,205,,38A-bto,{},,,9806,9806
,,205,,38A-baw,{},,,6322,6322
,,204,,38A-bco,{},,,6579,6579
,,205,,38A-bfg,{},,,7005,7005
,,202,,38A-brf,{},,,8778,8778
,,205,,38A-bsi,{},,,9491,9491
,,201,,38A-zag,{},,,75666,75666
,,201,,38A-bik,{},,,7333,7333
,,201,,38A-bil,{},,,7374,7374
,,202,,38A-bin,{},,,7408,7408
,,205,,38A-bni,{},,,8242,8242
,,202,,38A-bbw,{},,,6501,6501
,,201,,38A-bir,{},,,7461,7461
,,203,,38A-bla,{},,,7778,7778
,,205,,38A-bod,{},,,8460,8460
,,204,,38A-btk,{},,,9749,9749
,,201,,38A-bre,{},,,8724,8724
,,204,,38A-bdu,{},,,6656,6656
,,205,,38A-bum,{},,,10060,10060
,,205,,38A-brm,{},,,9054,9054
,,204,,38A-brn,{},,,9163,9163
,,201,,38A-bya,{},,,10460,10460
,,205,,38A-cax,{},,,11029,11029
,,205,,38A-cnl,{},,,13157,13157
,,202,,38A-cnt,{},,,13298,13298
,,202,,38A-cas,{},,,10945,10945
,,202,,38A-ctl,{},,,14189,14189
,,201,,38A-ceb,{},,,11427,11427
,,201,,38A-cem,{},,,11461,11461
,,205,,38A-cbo,{},,,11162,11162
,,202,,38A-chh,{},,,11834,11834
,,205,,38A-chg,{},,,11796,11796
,,205,,38A-chc,{},,,11677,11677
,,205,,38A-che,{},,,11757,11757
,,204,,38A-chi,{},,,11877,11877
,,202,,38A-ccm,{},,,11231,11231
,,205,,38A-cle,{},,,12721,12721
,,204,,38A-cpl,{},,,13696,13696
,,205,,38A-cmr,{},,,13034,13034
,,202,,38A-chs,{},,,12313,12313
,,205,,38A-cti,{},,,14146,14146
,,204,,38A-cmy,{},,,13085,13085
,,205,,38A-chr,{},,,12254,12254
,,205,,38A-chk,{},,,11982,11982
,,203,,38A-cba,{},,,11122,11122
,,205,,38A-chv,{},,,12385,12385
,,205,,38A-coc,{},,,13395,13395
,,204,,38A-cmn,{},,,12954,12954
,,204,,38A-coo,{},,,13511,13511
,,201,,38A-cop,{},,,13584,13584
,,204,,38A-crn,{},,,13968,13968
,,205,,38A-cup,{},,,14410,14410
,,205,,38A-cze,{},,,14624,14624
,,202,,38A-ddj,{},,,14956,14956
,,205,,38A-dag,{},,,14725,14725
,,204,,38A-dga,{},,,15144,15144
,,204,,38A-dgb,{},,,15198,15198
,,205,,38A-dni,{},,,16283,16283
,,201,,38A-dsh,{},,,16718,16718
,,204,,38A-deg,{},,,15007,15007
,,205,,38A-dhr,{},,,15413,15413
,,201,,38A-did,{},,,15448,15448
,,204,,38A-die,{},,,15505,15505
,,201,,38A-dio,{},,,15716,15716
,,205,,38A-dlm,{},,,16121,16121
,,204,,38A-doy,{},,,16488,16488
,,201,,38A-duk,{},,,16819,16819
,,205,,38A-dmi,{},,,16164,16164
,,201,,38A-dut,{},,,16977,16977
,,204,,38A-eip,{},,,17283,17283
,,204,,38A-egn,{},,,17239,17239
,,201,,38A-eng,{},,,17590,17590
,,204,,38A-epe,{},,,17787,17787
,,201,,38A-err,{},,,17912,17912
,,205,,38A-est,{},,,18026,18026
,,205,,38A-eud,{},,,18082,18082
,,205,,38A-evn,{},,,18276,18276
,,205,,38A-eve,{},,,18150,18150
,,201,,38A-ewe,{},,,18349,18349
,,205,,38A-fij,{},,,18607,18607
,,205,,38A-fin,{},,,18751,18751
,,201,,38A-pdp,{},,,53953,53953
,,201,,38A-fon,{},,,18898,18898
,,202,,38A-fre,{},,,19020,19020
,,201,,38A-fri,{},,,19141,19141
,,201,,38A-fut,{},,,19376,19376
,,201,,38A-fye,{},,,19450,19450
,,201,,38A-ga,{},,,19505,19505
,,203,,38A-gnd,{},,,20872,20872
,,204,,38A-gae,{},,,19561,19561
,,203,,38A-gah,{},,,19621,19621
,,205,,38A-gar,{},,,19781,19781
,,201,,38A-gbb,{},,,19904,19904
,,204,,38A-gel,{},,,20054,20054
,,202,,38A-ger,{},,,20271,20271
,,202,,38A-gil,{},,,20483,20483
,,204,,38A-goe,{},,,21023,21023
,,204,,38A-gok,{},,,21063,21063
,,205,,38A-gln,{},,,20696,20696
,,205,,38A-gon,{},,,21113,21113
,,205,,38A-grb,{},,,21314,21314
,,202,,38A-grk,{},,,21531,21531
,,205,,38A-grw,{},,,21757,21757
,,204,,38A-gua,{},,,21917,21917
,,201,,38A-gul,{},,,22161,22161
,,202,,38A-gmw,{},,,20753,20753
,,204,,38A-gnn,{},,,20886,20886
,,205,,38A-gur,{},,,22240,22240
,,201,,38A-gwa,{},,,22360,22360
,,202,,38A-gwo,{},,,22406,22406
,,204,,38A-hai,{},,,22503,22503
,,205,,38A-hat,{},,,22785,22785
,,201,,38A-hau,{},,,22877,22877
,,201,,38A-haw,{},,,23017,23017
,,202,,38A-heb,{},,,23199,23199
,,205,,38A-hin,{},,,23491,23491
,,205,,38A-hix,{},,,23636,23636
,,202,,38A-hmo,{},,,23940,23940
,,202,,38A-hoa,{},,,24167,24167
,,202,,38A-htc,{},,,24370,24370
,,205,,38A-hmi,{},,,23870,23870
,,204,,38A-hnd,{},,,24102,24102
,,201,,38A-hun,{},,,24616,24616
,,205,,38A-hzb,{},,,24937,24937
