confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,156,,29A-abi,{},,,101,101
,,157,,29A-abk,{},,,186,186
,,157,,29A-aco,{},,,729,729
,,157,,29A-ain,{},,,1489,1489
,,157,,29A-ala,{},,,1831,1831
,,156,,29A-ame,{},,,2414,2414
,,157,,29A-apu,{},,,3770,3770
,,156,,29A-aeg,{},,,1059,1059
,,155,,29A-ana,{},,,3087,3087
,,157,,29A-arp,{},,,4364,4364
,,157,,29A-arm,{},,,4183,4183
,,157,,29A-asm,{},,,4580,4580
,,156,,29A-awp,{},,,5193,5193
,"<div class=""example"">    <table border=""0"">            <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>‘love’ </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>future perfect </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>present </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>            <span>1</span>            <span style=""font-variant: small-caps;"">sg</span>          </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">munchiyäta </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">muntua </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>            <span>2</span>            <span style=""font-variant: small-caps;"">sg</span>          </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;""> </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">muntahua </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>            <span>3</span>            <span style=""font-variant: small-caps;"">sg</span>          </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">munchïna  </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">munihua </p>        </td>      </tr>    </table>  </div>  ",156,,29A-aym,{},,,5413,5413
,,156,,29A-bag,{},,,5840,5840
,,155,,29A-bam,{},,,6088,6088
,,157,,29A-brs,{},,,9322,9322
,,157,,29A-bsq,{},,,9588,9588
,,157,,29A-bkr,{},,,7642,7642
,,157,,29A-baw,{},,,6314,6314
,,156,,29A-bej,{},,,6726,6726
,,157,,29A-bma,{},,,8064,8064
,,157,,29A-brh,{},,,8838,8838
,,155,,29A-bri,{},,,8935,8935
,,155,,29A-brm,{},,,9046,9046
,,156,,29A-bur,{},,,10135,10135
,,157,,29A-cah,{},,,10605,10605
,,156,,29A-cnl,{},,,13150,13150
,,156,,29A-car,{},,,10871,10871
,,156,,29A-cyv,{},,,14548,14548
,,157,,29A-cha,{},,,11544,11544
,,156,,29A-cle,{},,,12714,12714
,,156,,29A-chk,{},,,11973,11973
,,157,,29A-ccp,{},,,11296,11296
,,155,,29A-cmn,{},,,12945,12945
,,157,,29A-coo,{},,,13503,13503
,,157,,29A-cre,{},,,13847,13847
,,156,,29A-dag,{},,,14719,14719
,,156,,29A-dni,{},,,16276,16276
,"<div class=""example"">    <table border=""0"">            <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>‘broke’ </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-variant: small-caps;"">sg </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-variant: small-caps;"">pl </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-variant: small-caps;"">1 </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>            <span style=""font-style:italic;"">nitig</span>            <span style=""font-style:italic;"">ɛr</span>          </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic; font-weight:bold;"">nutigɛr </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p>2 </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic; font-weight:bold;"">nutigɛr </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">jitigɛr </p>        </td>      </tr>      <tr>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-variant: small-caps;"">3 </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">natigɛr </p>        </td>        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">          <p style=""font-style:italic;"">kutigɛr </p>        </td>      </tr>    </table>  </div>  ",156,,29A-dio,{},,,15709,15709
,,155,,29A-dre,{},,,16556,16556
,,156,,29A-eka,{},,,17361,17361
,,156,,29A-eng,{},,,17581,17581
,,155,,29A-epe,{},,,17779,17779
,,157,,29A-eve,{},,,18141,18141
,,156,,29A-ewe,{},,,18341,18341
,,155,,29A-fij,{},,,18601,18601
,,157,,29A-fin,{},,,18742,18742
,,156,,29A-fre,{},,,19011,19011
,,157,,29A-fur,{},,,19296,19296
,,155,,29A-gar,{},,,19775,19775
,,157,,29A-geo,{},,,20112,20112
,,156,,29A-ger,{},,,20262,20262
,,157,,29A-goo,{},,,21173,21173
,,157,,29A-grb,{},,,21306,21306
