confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,198,,37A-aar,{},,,25,25
,,196,,37A-abk,{},,,194,194
,,197,,37A-abu,{},,,383,383
,,200,,37A-ace,{},,,494,494
,,198,,37A-acl,{},,,610,610
,,200,,37A-aco,{},,,737,737
,,197,,37A-adg,{},,,837,837
,,196,,37A-adi,{},,,869,869
,,198,,37A-ady,{},,,951,951
,,198,,37A-agc,{},,,1240,1240
,,197,,37A-akn,{},,,1731,1731
,,196,,37A-ala,{},,,1839,1839
,,198,,37A-alb,{},,,1953,1953
,,200,,37A-aln,{},,,2137,2137
,,200,,37A-amc,{},,,2355,2355
,,200,,37A-amn,{},,,2711,2711
,,196,,37A-amq,{},,,2853,2853
,,200,,37A-amb,{},,,2308,2308
,,199,,37A-ame,{},,,2422,2422
,,196,,37A-amh,{},,,2556,2556
,,198,,37A-anj,{},,,3328,3328
,,196,,37A-agm,{},,,1338,1338
,,200,,37A-ang,{},,,3249,3249
,,196,,37A-anu,{},,,3435,3435
,,200,,37A-any,{},,,3472,3472
,,197,,37A-ao,{},,,3522,3522
,,198,,37A-apw,{},,,3871,3871
,,200,,37A-apl,{},,,3653,3653
,,200,,37A-apu,{},,,3778,3778
,,198,,37A-aeg,{},,,1067,1067
,,198,,37A-arg,{},,,4056,4056
,,198,,37A-arq,{},,,4459,4459
,,198,,37A-arj,{},,,4120,4120
,,198,,37A-ams,{},,,2947,2947
,,198,,37A-amr,{},,,2891,2891
,,198,,37A-asy,{},,,4732,4732
,,200,,37A-ana,{},,,3091,3091
,,196,,37A-ara,{},,,3912,3912
,,197,,37A-arc,{},,,4003,4003
,,198,,37A-arm,{},,,4191,4191
,,198,,37A-arw,{},,,4504,4504
,,196,,37A-aro,{},,,4296,4296
,,196,,37A-amp,{},,,2797,2797
,,197,,37A-asm,{},,,4587,4587
,,196,,37A-ata,{},,,4787,4787
,,198,,37A-ats,{},,,4922,4922
,,200,,37A-au,{},,,4941,4941
,,198,,37A-avk,{},,,5047,5047
,,200,,37A-awp,{},,,5199,5199
,,196,,37A-awt,{},,,5309,5309
,,199,,37A-azi,{},,,5572,5572
,,196,,37A-bab,{},,,5650,5650
,,196,,37A-bfi,{},,,7047,7047
,,196,,37A-bag,{},,,5847,5847
,,196,,37A-bgr,{},,,7129,7129
,,197,,37A-baj,{},,,6000,6000
,,197,,37A-bwc,{},,,10419,10419
,,196,,37A-bak,{},,,6023,6023
,,196,,37A-blz,{},,,8014,8014
,,197,,37A-bvi,{},,,10379,10379
,,198,,37A-blt,{},,,7935,7935
,,196,,37A-bam,{},,,6092,6092
,,197,,37A-bbu,{},,,6451,6451
,,200,,37A-bar,{},,,6219,6219
,,196,,37A-brp,{},,,9214,9214
,,200,,37A-bsk,{},,,9517,9517
,,196,,37A-bsq,{},,,9596,9596
,,198,,37A-bkr,{},,,7648,7648
,,200,,37A-bto,{},,,9805,9805
,,196,,37A-baq,{},,,6187,6187
,,200,,37A-baw,{},,,6321,6321
,,198,,37A-bej,{},,,6732,6732
,,196,,37A-bco,{},,,6578,6578
,,200,,37A-bfg,{},,,7004,7004
,,196,,37A-brf,{},,,8777,8777
,,200,,37A-bsi,{},,,9490,9490
,,196,,37A-zag,{},,,75665,75665
,,196,,37A-bik,{},,,7332,7332
,,197,,37A-bil,{},,,7373,7373
,,196,,37A-bmb,{},,,8155,8155
,,197,,37A-bin,{},,,7407,7407
,,200,,37A-bni,{},,,8241,8241
,,197,,37A-bbw,{},,,6500,6500
,,196,,37A-bir,{},,,7460,7460
,,198,,37A-bla,{},,,7777,7777
,,196,,37A-bbf,{},,,6407,6407
,,200,,37A-bod,{},,,8459,8459
,,196,,37A-bre,{},,,8723,8723
,,196,,37A-bdu,{},,,6655,6655
,,196,,37A-bul,{},,,9991,9991
,,200,,37A-bum,{},,,10059,10059
,,200,,37A-brm,{},,,9053,9053
,,198,,37A-brn,{},,,9162,9162
,,197,,37A-bur,{},,,10142,10142
,,199,,37A-bya,{},,,10459,10459
,,200,,37A-cax,{},,,11028,11028
,,200,,37A-cnl,{},,,13156,13156
,,199,,37A-cnt,{},,,13297,13297
,,197,,37A-cas,{},,,10944,10944
,,199,,37A-ceb,{},,,11426,11426
,,196,,37A-cem,{},,,11460,11460
,,200,,37A-cbo,{},,,11161,11161
,,197,,37A-chh,{},,,11833,11833
,,196,,37A-cha,{},,,11552,11552
,,200,,37A-chg,{},,,11795,11795
,,196,,37A-cso,{},,,14088,14088
,,200,,37A-chc,{},,,11676,11676
,,200,,37A-che,{},,,11756,11756
,,198,,37A-chi,{},,,11876,11876
,,196,,37A-ccm,{},,,11230,11230
,,200,,37A-cle,{},,,12720,12720
,,200,,37A-cmr,{},,,13033,13033
,,200,,37A-cti,{},,,14145,14145
,,196,,37A-cmy,{},,,13084,13084
,,200,,37A-chr,{},,,12253,12253
,,200,,37A-chk,{},,,11981,11981
,,200,,37A-chv,{},,,12384,12384
,,200,,37A-coc,{},,,13394,13394
,,197,,37A-cmn,{},,,12953,12953
,,198,,37A-cmx,{},,,13065,13065
,,196,,37A-coo,{},,,13510,13510
,,196,,37A-cop,{},,,13583,13583
,,196,,37A-cor,{},,,13638,13638
,,196,,37A-crn,{},,,13967,13967
,,200,,37A-cup,{},,,14409,14409
,,200,,37A-cze,{},,,14623,14623
,,198,,37A-ddj,{},,,14955,14955
,,200,,37A-dag,{},,,14724,14724
,,196,,37A-dga,{},,,15143,15143
,,196,,37A-dgb,{},,,15197,15197
,,200,,37A-dni,{},,,16282,16282
,,198,,37A-dsh,{},,,16717,16717
,,196,,37A-day,{},,,14921,14921
,,196,,37A-deg,{},,,15006,15006
,,200,,37A-dhr,{},,,15412,15412
,,196,,37A-die,{},,,15504,15504
,,196,,37A-dim,{},,,15605,15605
,,198,,37A-din,{},,,15647,15647
