confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,143,,26A-aar,{},,,23,23
,,143,,26A-abi,{},,,99,99
,,145,,26A-abk,{},,,183,183
,,145,,26A-abv,{},,,442,442
,,142,,26A-abu,{},,,380,380
,,142,,26A-ace,{},,,491,491
,,145,,26A-acg,{},,,561,561
,,145,,26A-acl,{},,,608,608
,,143,,26A-acu,{},,,815,815
,,145,,26A-aco,{},,,727,727
,,142,,26A-adg,{},,,835,835
,,146,,26A-adi,{},,,867,867
,,143,,26A-adn,{},,,932,932
,,144,,26A-aga,{},,,1194,1194
,,143,,26A-agc,{},,,1237,1237
,,145,,26A-ain,{},,,1486,1486
,,147,,26A-akn,{},,,1727,1727
,,142,,26A-akh,{},,,1671,1671
,,145,,26A-all,{},,,2101,2101
,,143,,26A-ala,{},,,1828,1828
,,143,,26A-alw,{},,,2208,2208
,,143,,26A-alb,{},,,1950,1950
,,143,,26A-ale,{},,,2042,2042
,,145,,26A-aln,{},,,2135,2135
,,143,,26A-aly,{},,,2245,2245
,,143,,26A-amc,{},,,2354,2354
,,143,,26A-amn,{},,,2709,2709
,,142,,26A-aml,{},,,2661,2661
,,146,,26A-amq,{},,,2851,2851
,,143,,26A-ame,{},,,2411,2411
,,144,,26A-amh,{},,,2548,2548
,,146,,26A-amo,{},,,2750,2750
,,144,,26A-amx,{},,,3024,3024
,,145,,26A-anj,{},,,3326,3326
,,142,,26A-agm,{},,,1336,1336
,,142,,26A-anc,{},,,3171,3171
,,143,,26A-ang,{},,,3248,3248
,,143,,26A-agt,{},,,1387,1387
,,145,,26A-ann,{},,,3374,3374
,,142,,26A-anu,{},,,3433,3433
,,145,,26A-any,{},,,3470,3470
,,144,,26A-ao,{},,,3520,3520
,,145,,26A-apw,{},,,3870,3870
,,145,,26A-apl,{},,,3649,3649
,,143,,26A-apt,{},,,3705,3705
,,145,,26A-apu,{},,,3767,3767
,,143,,26A-abn,{},,,330,330
,,144,,26A-aeg,{},,,1056,1056
,,144,,26A-arg,{},,,4051,4051
,,145,,26A-arq,{},,,4457,4457
,,143,,26A-ams,{},,,2946,2946
,,144,,26A-amr,{},,,2889,2889
,,144,,26A-asy,{},,,4726,4726
,,143,,26A-ana,{},,,3085,3085
,,146,,26A-arp,{},,,4361,4361
,,145,,26A-ara,{},,,3909,3909
,,143,,26A-arc,{},,,3998,3998
,,143,,26A-arm,{},,,4180,4180
,,143,,26A-arw,{},,,4501,4501
,,142,,26A-aro,{},,,4294,4294
,,143,,26A-amp,{},,,2793,2793
,,143,,26A-awe,{},,,5116,5116
,,143,,26A-asm,{},,,4577,4577
,,143,,26A-ass,{},,,4675,4675
,,142,,26A-ata,{},,,4786,4786
,,143,,26A-ath,{},,,4835,4835
,,146,,26A-au,{},,,4940,4940
,,143,,26A-ava,{},,,5000,5000
,,143,,26A-awa,{},,,5076,5076
,,143,,26A-awp,{},,,5190,5190
,,144,,26A-awt,{},,,5306,5306
,,143,,26A-aym,{},,,5410,5410
,,143,,26A-azi,{},,,5570,5570
,,143,,26A-aze,{},,,5533,5533
,,145,,26A-bac,{},,,5713,5713
,,144,,26A-bag,{},,,5837,5837
,,146,,26A-bgr,{},,,7127,7127
,,142,,26A-bai,{},,,5951,5951
,,142,,26A-bwc,{},,,10417,10417
,,142,,26A-bka,{},,,7542,7542
,,142,,26A-bvi,{},,,10377,10377
,,143,,26A-blt,{},,,7933,7933
,,143,,26A-bam,{},,,6086,6086
,,143,,26A-bnj,{},,,8272,8272
,,146,,26A-bnn,{},,,8312,8312
,,143,,26A-baa,{},,,5600,5600
,,146,,26A-bbu,{},,,6449,6449
,,143,,26A-brs,{},,,9319,9319
,,144,,26A-bae,{},,,5737,5737
,,146,,26A-bar,{},,,6217,6217
,,146,,26A-brp,{},,,9212,9212
,,144,,26A-bry,{},,,9435,9435
,,143,,26A-bsk,{},,,9514,9514
,,145,,26A-bsq,{},,,9585,9585
,,143,,26A-bkr,{},,,7640,7640
,,145,,26A-bto,{},,,9803,9803
,,144,,26A-baq,{},,,6185,6185
,,142,,26A-baw,{},,,6312,6312
,,144,,26A-bej,{},,,6723,6723
,,144,,26A-bel,{},,,6811,6811
,,143,,26A-bco,{},,,6575,6575
,,143,,26A-blr,{},,,7903,7903
,,146,,26A-bfg,{},,,7002,7002
,,145,,26A-bma,{},,,8061,8061
,,146,,26A-brf,{},,,8775,8775
,,144,,26A-zag,{},,,75663,75663
,,144,,26A-ber,{},,,6937,6937
,,144,,26A-bti,{},,,9723,9723
,,143,,26A-bkb,{},,,7571,7571
,,143,,26A-bho,{},,,7198,7198
,,146,,26A-bik,{},,,7330,7330
,,142,,26A-bkl,{},,,7601,7601
,,143,,26A-bln,{},,,7867,7867
,,143,,26A-bnr,{},,,8360,8360
,,145,,26A-blx,{},,,7968,7968
,,144,,26A-bil,{},,,7371,7371
,,143,,26A-bmb,{},,,8154,8154
,,146,,26A-bbw,{},,,6494,6494
,,143,,26A-bii,{},,,7290,7290
,,147,,26A-bir,{},,,7458,7458
,,146,,26A-bla,{},,,7774,7774
,,143,,26A-bod,{},,,8457,8457
,,146,,26A-bgo,{},,,7092,7092
,,145,,26A-btk,{},,,9747,9747
,,144,,26A-brr,{},,,9272,9272
,,143,,26A-brh,{},,,8836,8836
,,144,,26A-bre,{},,,8721,8721
,,143,,26A-bri,{},,,8933,8933
,,147,,26A-bdu,{},,,6653,6653
,,145,,26A-bud,{},,,9890,9890
,,143,,26A-bun,{},,,10093,10093
,,143,,26A-bnu,{},,,8371,8371
,,143,,26A-bul,{},,,9988,9988
,,142,,26A-pnu,{},,,54870,54870
,,146,,26A-bua,{},,,9861,9861
,,143,,26A-but,{},,,10277,10277
,,143,,26A-brm,{},,,9043,9043
,,143,,26A-bmr,{},,,8191,8191
,,143,,26A-brn,{},,,9160,9160
,,144,,26A-bur,{},,,10133,10133
,,147,,26A-bsh,{},,,9458,9458
,,143,,26A-bya,{},,,10457,10457
,,145,,26A-cah,{},,,10602,10602
,,143,,26A-cax,{},,,11022,11022
,,146,,26A-cam,{},,,10780,10780
,,145,,26A-cnm,{},,,13253,13253
,,142,,26A-cnl,{},,,13147,13147
,,142,,26A-cnt,{},,,13290,13290
,,143,,26A-crp,{},,,14024,14024
,,145,,26A-car,{},,,10868,10868
,,145,,26A-cde,{},,,11366,11366
,,143,,26A-cas,{},,,10942,10942
,,143,,26A-cay,{},,,11086,11086
,,146,,26A-cyv,{},,,14545,14545
,,142,,26A-cem,{},,,11458,11458
,,143,,26A-cbo,{},,,11159,11159
,,145,,26A-chh,{},,,11830,11830
,,142,,26A-cha,{},,,11541,11541
,,145,,26A-chg,{},,,11793,11793
,,143,,26A-chc,{},,,11673,11673
,,143,,26A-cmh,{},,,12846,12846
,,146,,26A-che,{},,,11754,11754
,,144,,26A-chi,{},,,11870,11870
,,147,,26A-ccm,{},,,11228,11228
,,142,,26A-cle,{},,,12711,12711
,,145,,26A-cpl,{},,,13694,13694
,,145,,26A-chq,{},,,12216,12216
,,146,,26A-ckl,{},,,12617,12617
,,142,,26A-chs,{},,,12311,12311
,,147,,26A-cti,{},,,14143,14143
,,143,,26A-cpy,{},,,13770,13770
,,147,,26A-chp,{},,,12167,12167
,,143,,26A-ctm,{},,,14240,14240
,,145,,26A-cct,{},,,11315,11315
,,144,,26A-cln,{},,,12800,12800
,,144,,26A-chx,{},,,12480,12480
,,143,,26A-cmy,{},,,13082,13082
,,142,,26A-chr,{},,,12250,12250
,,144,,26A-chk,{},,,11970,11970
,,145,,26A-cba,{},,,11120,11120
,,143,,26A-chv,{},,,12376,12376
,,145,,26A-coa,{},,,13369,13369
,,143,,26A-coc,{},,,13392,13392
,,143,,26A-cmn,{},,,12942,12942
,,144,,26A-coo,{},,,13500,13500
,,146,,26A-cop,{},,,13580,13580
,,143,,26A-crn,{},,,13965,13965
,,145,,26A-cre,{},,,13844,13844
,,143,,26A-cub,{},,,14320,14320
,,145,,26A-cup,{},,,14407,14407
,,144,,26A-cze,{},,,14621,14621
,,143,,26A-dag,{},,,14716,14716
,,144,,26A-dgb,{},,,15194,15194
,,143,,26A-dgr,{},,,15282,15282
,,143,,26A-dni,{},,,16274,16274
,,143,,26A-dsh,{},,,16715,16715
,,144,,26A-drm,{},,,16678,16678
,,143,,26A-des,{},,,15065,15065
,,143,,26A-deu,{},,,15118,15118
,,143,,26A-dhw,{},,,15436,15436
,,143,,26A-dhr,{},,,15410,15410
,,143,,26A-did,{},,,15445,15445
,,146,,26A-die,{},,,15501,15501
,,143,,26A-dig,{},,,15565,15565
,,143,,26A-dms,{},,,16221,16221
,,143,,26A-dim,{},,,15603,15603
,,142,,26A-din,{},,,15645,15645
,,145,,26A-dio,{},,,15707,15707
,,143,,26A-diy,{},,,15805,15805
,,143,,26A-dja,{},,,15897,15897
,,143,,26A-djm,{},,,15975,15975
,,143,,26A-djp,{},,,16035,16035
,,143,,26A-djr,{},,,16087,16087
,,143,,26A-djn,{},,,15998,15998
,,143,,26A-dji,{},,,15931,15931
,,143,,26A-dlm,{},,,16119,16119
,,143,,26A-dmk,{},,,16198,16198
,,143,,26A-dom,{},,,16388,16388
,,144,,26A-dgo,{},,,15239,15239
,,143,,26A-dds,{},,,14969,14969
,,143,,26A-doy,{},,,16484,16484
,,142,,26A-dre,{},,,16553,16553
,,142,,26A-duk,{},,,16817,16817
,,142,,26A-dun,{},,,16935,16935
,,143,,26A-dut,{},,,16972,16972
,,143,,26A-dyi,{},,,17079,17079
