confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,354,,69A-aar,{},,,29,29
,,354,,69A-abi,{},,,116,116
,,354,,69A-abk,{},,,224,224
,,354,,69A-abv,{},,,446,446
,,357,,69A-abu,{},,,394,394
,,357,,69A-ace,{},,,505,505
,,354,,69A-acg,{},,,566,566
,,353,,69A-acl,{},,,615,615
,,354,,69A-acu,{},,,818,818
,,354,,69A-acm,{},,,659,659
,,354,,69A-aco,{},,,760,760
,,357,,69A-adg,{},,,840,840
,,353,,69A-adi,{},,,873,873
,,354,,69A-adn,{},,,934,934
,,354,,69A-awi,{},,,5135,5135
,,354,,69A-aga,{},,,1198,1198
,,356,,69A-agc,{},,,1243,1243
,,354,,69A-ain,{},,,1525,1525
,,353,,69A-aja,{},,,1612,1612
,,353,,69A-akn,{},,,1740,1740
,,357,,69A-akh,{},,,1673,1673
,,353,,69A-all,{},,,2103,2103
,,354,,69A-ala,{},,,1867,1867
,,354,,69A-alw,{},,,2220,2220
,,354,,69A-alb,{},,,1970,1970
,,354,,69A-ale,{},,,2057,2057
,,354,,69A-alc,{},,,2026,2026
,,357,,69A-aln,{},,,2142,2142
,,354,,69A-aly,{},,,2262,2262
,,354,,69A-amc,{},,,2359,2359
,,354,,69A-amn,{},,,2715,2715
,,357,,69A-amq,{},,,2856,2856
,,354,,69A-amb,{},,,2315,2315
,,354,,69A-ame,{},,,2455,2455
,,356,,69A-amh,{},,,2576,2576
,,353,,69A-amo,{},,,2753,2753
,,354,,69A-amx,{},,,3027,3027
,,357,,69A-anj,{},,,3334,3334
,,354,,69A-agm,{},,,1342,1342
,,357,,69A-anc,{},,,3175,3175
,,356,,69A-ang,{},,,3253,3253
,,354,,69A-agt,{},,,1393,1393
,,354,,69A-ani,{},,,3298,3298
,,354,,69A-ann,{},,,3378,3378
,,356,,69A-anu,{},,,3439,3439
,,353,,69A-ayi,{},,,5377,5377
,,356,,69A-any,{},,,3477,3477
,,354,,69A-ao,{},,,3528,3528
,,353,,69A-apw,{},,,3873,3873
,,354,,69A-apl,{},,,3661,3661
,,354,,69A-apt,{},,,3708,3708
,,354,,69A-apu,{},,,3804,3804
,,354,,69A-abn,{},,,343,343
,,356,,69A-aeg,{},,,1096,1096
,,356,,69A-arg,{},,,4065,4065
,,356,,69A-arq,{},,,4463,4463
,,356,,69A-amr,{},,,2899,2899
,,356,,69A-asy,{},,,4736,4736
,,354,,69A-ana,{},,,3107,3107
,,353,,69A-arp,{},,,4393,4393
,,354,,69A-ara,{},,,3921,3921
,,354,,69A-arc,{},,,4009,4009
,,353,,69A-ari,{},,,4114,4114
,,354,,69A-arm,{},,,4218,4218
,,354,,69A-arw,{},,,4509,4509
,,357,,69A-aro,{},,,4300,4300
,,354,,69A-amp,{},,,2810,2810
,,354,,69A-awe,{},,,5119,5119
,,354,,69A-asm,{},,,4608,4608
,,354,,69A-ass,{},,,4681,4681
,,354,,69A-atk,{},,,4889,4889
,,356,,69A-ata,{},,,4794,4794
,,354,,69A-ath,{},,,4843,4843
,,356,,69A-ats,{},,,4924,4924
,,357,,69A-au,{},,,4946,4946
,,354,,69A-ava,{},,,5010,5010
,,354,,69A-avo,{},,,5060,5060
,,354,,69A-awa,{},,,5080,5080
,,354,,69A-awp,{},,,5223,5223
,,354,,69A-awt,{},,,5322,5322
,,356,,69A-awy,{},,,5367,5367
,,354,,69A-aym,{},,,5431,5431
,,354,,69A-azi,{},,,5576,5576
,,354,,69A-aze,{},,,5544,5544
,,356,,69A-bbl,{},,,6419,6419
,,354,,69A-bac,{},,,5715,5715
,,354,,69A-bdm,{},,,6631,6631
,,356,,69A-bag,{},,,5870,5870
,,353,,69A-bgr,{},,,7131,7131
,,357,,69A-bai,{},,,5955,5955
,,353,,69A-bku,{},,,7748,7748
,,354,,69A-blt,{},,,7937,7937
,,354,,69A-bam,{},,,6105,6105
,,354,,69A-bnj,{},,,8281,8281
,,353,,69A-bnn,{},,,8317,8317
,,354,,69A-bao,{},,,6169,6169
,,354,,69A-baa,{},,,5608,5608
,,353,,69A-bbu,{},,,6454,6454
,,354,,69A-brs,{},,,9352,9352
,,354,,69A-bae,{},,,5747,5747
,,356,,69A-mug,{},,,46103,46103
,,353,,69A-bar,{},,,6230,6230
,,354,,69A-bry,{},,,9439,9439
,,354,,69A-bsk,{},,,9525,9525
,,356,,69A-bsq,{},,,9629,9629
,,354,,69A-bkr,{},,,7666,7666
,,354,,69A-bau,{},,,6294,6294
,,355,,69A-ble,{},,,7828,7828
,,354,,69A-baq,{},,,6190,6190
,,354,,69A-bzi,{},,,10527,10527
,,357,,69A-baw,{},,,6334,6334
,,354,,69A-bej,{},,,6749,6749
,,354,,69A-bel,{},,,6824,6824
,,354,,69A-bco,{},,,6582,6582
,,356,,69A-blr,{},,,7907,7907
