confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,348,,67A-abi,{},,,114,114
,,347,,67A-abk,{},,,222,222
,,348,,67A-aco,{},,,758,758
,,348,,67A-afr,{},,,1187,1187
,,348,,67A-ain,{},,,1523,1523
,,347,,67A-akn,{},,,1738,1738
,,347,,67A-ala,{},,,1865,1865
,,347,,67A-alw,{},,,2218,2218
,,347,,67A-aly,{},,,2260,2260
,,347,,67A-ame,{},,,2453,2453
,,348,,67A-amh,{},,,2574,2574
,,347,,67A-apu,{},,,3802,3802
,,347,,67A-aeg,{},,,1094,1094
,,348,,67A-atu,{},,,4931,4931
,,348,,67A-ana,{},,,3105,3105
,,347,,67A-arp,{},,,4391,4391
,,348,,67A-arm,{},,,4216,4216
,,347,,67A-asm,{},,,4606,4606
,,348,,67A-atc,{},,,4831,4831
,,348,,67A-avo,{},,,5058,5058
,,347,,67A-awp,{},,,5221,5221
,,347,,67A-awn,{},,,5162,5162
,,347,,67A-aze,{},,,5542,5542
,,348,,67A-bag,{},,,5868,5868
,,347,,67A-blc,{},,,7819,7819
,,347,,67A-bnj,{},,,8279,8279
,,348,,67A-brs,{},,,9350,9350
,,348,,67A-bar,{},,,6228,6228
,,347,,67A-bsq,{},,,9627,9627
,,348,,67A-bej,{},,,6747,6747
,,347,,67A-ben,{},,,6893,6893
,,348,,67A-bma,{},,,8089,8089
,,347,,67A-bon,{},,,8567,8567
,,348,,67A-brh,{},,,8869,8869
,,348,,67A-bul,{},,,10005,10005
,,347,,67A-bui,{},,,9965,9965
,,348,,67A-but,{},,,10292,10292
,,348,,67A-brm,{},,,9079,9079
,,347,,67A-bur,{},,,10169,10169
,,348,,67A-cnl,{},,,13182,13182
,,348,,67A-cnt,{},,,13316,13316
,,348,,67A-ceb,{},,,11431,11431
,,347,,67A-cbo,{},,,11169,11169
,,348,,67A-cha,{},,,11578,11578
,,347,,67A-cpn,{},,,13740,13740
,,347,,67A-cyn,{},,,14513,14513
,,347,,67A-cpl,{},,,13700,13700
,,347,,67A-chk,{},,,12011,12011
,,348,,67A-cuu,{},,,14450,14450
,,347,,67A-coc,{},,,13399,13399
,,348,,67A-cre,{},,,13875,13875
,,347,,67A-dag,{},,,14741,14741
,,347,,67A-dni,{},,,16300,16300
,,348,,67A-did,{},,,15453,15453
,,347,,67A-dio,{},,,15729,15729
,,347,,67A-egn,{},,,17246,17246
,,348,,67A-eng,{},,,17620,17620
,,347,,67A-eve,{},,,18179,18179
,,347,,67A-ewe,{},,,18371,18371
,,348,,67A-fij,{},,,18633,18633
,,348,,67A-fin,{},,,18781,18781
,,347,,67A-fre,{},,,19050,19050
,,347,,67A-grf,{},,,21410,21410
,,347,,67A-geo,{},,,20149,20149
,,348,,67A-ger,{},,,20297,20297
,,347,,67A-goo,{},,,21208,21208
,,347,,67A-grb,{},,,21331,21331
,,348,,67A-grk,{},,,21556,21556
,,347,,67A-grw,{},,,21782,21782
,,347,,67A-gua,{},,,21942,21942
,,347,,67A-gug,{},,,22076,22076
,,347,,67A-hal,{},,,22625,22625
,,348,,67A-hau,{},,,22903,22903
,,348,,67A-haw,{},,,23031,23031
,,348,,67A-hwc,{},,,24863,24863
,,347,,67A-heb,{},,,23229,23229
,,347,,67A-hin,{},,,23516,23516
,,348,,67A-hix,{},,,23663,23663
,,348,,67A-hmo,{},,,23960,23960
,,348,,67A-hun,{},,,24646,24646
,,348,,67A-ice,{},,,25213,25213
,,347,,67A-imo,{},,,25967,25967
,,348,,67A-ind,{},,,26140,26140
,,347,,67A-ins,{},,,26368,26368
,,348,,67A-ise,{},,,26785,26785
,,348,,67A-jak,{},,,27227,27227
,,348,,67A-jpn,{},,,27830,27830
,,348,,67A-jav,{},,,27443,27443
,,347,,67A-jiv,{},,,27571,27571
,,348,,67A-juh,{},,,27999,27999
,,347,,67A-knk,{},,,32540,32540
,,347,,67A-knd,{},,,32357,32357
,,347,,67A-knr,{},,,32799,32799
,,347,,67A-krk,{},,,34262,34262
,,347,,67A-kay,{},,,28676,28676
,,348,,67A-ket,{},,,29359,29359
,,347,,67A-kew,{},,,29481,29481
,,348,,67A-kha,{},,,29909,29909
,,348,,67A-khm,{},,,30170,30170
,,348,,67A-kmu,{},,,32129,32129
,,348,,67A-kik,{},,,30606,30606
,,347,,67A-kio,{},,,30783,30783
,,347,,67A-koa,{},,,32988,32988
,,348,,67A-kor,{},,,33560,33560
,,348,,67A-kse,{},,,34718,34718
,,348,,67A-kfc,{},,,29555,29555
,,348,,67A-kro,{},,,34425,34425
,,347,,67A-kui,{},,,35158,35158
,,348,,67A-kya,{},,,35965,35965
,,347,,67A-kji,{},,,31056,31056
,,347,,67A-kut,{},,,35405,35405
,,348,,67A-lah,{},,,36548,36548
,,348,,67A-lai,{},,,36617,36617
,,348,,67A-lkt,{},,,38408,38408
,,348,,67A-lan,{},,,36835,36835
,,348,,67A-lao,{},,,36920,36920
,,347,,67A-lat,{},,,37042,37042
,,347,,67A-lav,{},,,37177,37177
,,347,,67A-lez,{},,,37856,37856
,,347,,67A-lda,{},,,37321,37321
,,347,,67A-luv,{},,,39314,39314
,,347,,67A-mne,{},,,43862,43862
,,347,,67A-mai,{},,,39777,39777
,,348,,67A-mak,{},,,39884,39884
,,348,,67A-mal,{},,,40005,40005
,,348,,67A-mlt,{},,,43338,43338
,,348,,67A-mnd,{},,,43743,43743
,,348,,67A-myi,{},,,47078,47078
,,348,,67A-man,{},,,40152,40152
,,348,,67A-mao,{},,,40248,40248
,,347,,67A-map,{},,,40390,40390
,,347,,67A-mrg,{},,,45044,45044
,,347,,67A-mar,{},,,40531,40531
,,347,,67A-mrt,{},,,45429,45429
,,347,,67A-mau,{},,,40692,40692
,,348,,67A-may,{},,,40892,40892
,,348,,67A-mei,{},,,41926,41926
,,347,,67A-mxc,{},,,46698,46698
,,347,,67A-mtg,{},,,45944,45944
,,348,,67A-mtu,{},,,46040,46040
,,347,,67A-mwe,{},,,46559,46559
,,348,,67A-nak,{},,,47542,47542
,,348,,67A-kho,{},,,30310,30310
,,347,,67A-ntu,{},,,51266,51266
,,348,,67A-nbr,{},,,48171,48171
,,347,,67A-ngm,{},,,49336,49336
,,347,,67A-ngi,{},,,49141,49141
,,348,,67A-nca,{},,,48232,48232
,,347,,67A-nim,{},,,49941,49941
,,347,,67A-niv,{},,,50096,50096
,,347,,67A-ond,{},,,52446,52446
,,347,,67A-ono,{},,,52577,52577
,,348,,67A-ood,{},,,52612,52612
,,348,,67A-orh,{},,,52763,52763
,,348,,67A-pai,{},,,53443,53443
,,348,,67A-plg,{},,,54466,54466
,,347,,67A-pnn,{},,,54773,54773
,,347,,67A-pan,{},,,53617,53617
,,348,,67A-prs,{},,,55588,55588
,,348,,67A-prh,{},,,55414,55414
,,348,,67A-por,{},,,55199,55199
,,347,,67A-bng,{},,,8238,8238
,,348,,67A-qco,{},,,56376,56376
,,347,,67A-qim,{},,,56520,56520
,,347,,67A-ram,{},,,56804,56804
,,348,,67A-rap,{},,,56957,56957
,,348,,67A-raw,{},,,57068,57068
,,348,,67A-ren,{},,,57160,57160
,,348,,67A-rom,{},,,57495,57495
,,347,,67A-ruk,{},,,57785,57785
,,348,,67A-rus,{},,,57955,57955
,,348,,67A-san,{},,,58434,58434
,,348,,67A-snm,{},,,60934,60934
,,348,,67A-sml,{},,,60590,60590
,,347,,67A-snc,{},,,60753,60753
,,348,,67A-ses,{},,,59105,59105
,,348,,67A-shu,{},,,59723,59723
,,347,,67A-sla,{},,,60275,60275
,,347,,67A-som,{},,,61320,61320
,,347,,67A-spa,{},,,61518,61518
,,347,,67A-sue,{},,,62248,62248
,,348,,67A-sun,{},,,62399,62399
,,348,,67A-sup,{},,,62509,62509
,,347,,67A-swa,{},,,62746,62746
,,348,,67A-swe,{},,,62849,62849
,,347,,67A-tag,{},,,63250,63250
,,348,,67A-tah,{},,,63343,63343
,,347,,67A-tml,{},,,66172,66172
,,348,,67A-tga,{},,,64507,64507
,,347,,67A-tem,{},,,64249,64249
,,347,,67A-tne,{},,,66532,66532
,,348,,67A-tny,{},,,66733,66733
,,348,,67A-tha,{},,,64806,64806
,,348,,67A-tgr,{},,,64702,64702
,,347,,67A-tig,{},,,65245,65245
,,347,,67A-tiw,{},,,65541,65541
,,348,,67A-toj,{},,,66831,66831
,,348,,67A-tpi,{},,,67106,67106
,,347,,67A-tug,{},,,68212,68212
,,347,,67A-tuc,{},,,68162,68162
,,347,,67A-tuk,{},,,68287,68287
,,347,,67A-tur,{},,,68584,68584
,,347,,67A-udm,{},,,69352,69352
,,348,,67A-uyg,{},,,70269,70269
,,348,,67A-vie,{},,,70542,70542
,,348,,67A-wra,{},,,72572,72572
,,348,,67A-war,{},,,71151,71151
,,347,,67A-wch,{},,,71466,71466
,,347,,67A-wic,{},,,71781,71781
,,347,,67A-wly,{},,,72168,72168
,,348,,67A-wlf,{},,,72047,72047
,,348,,67A-wor,{},,,72491,72491
,,347,,67A-ygr,{},,,74177,74177
,,348,,67A-yag,{},,,73473,73473
,,347,,67A-yaq,{},,,73777,73777
,,347,,67A-yes,{},,,74130,74130
,,348,,67A-yor,{},,,74965,74965
,,348,,67A-yct,{},,,74032,74032
,,347,,67A-yko,{},,,74607,74607
,,348,,67A-zqc,{},,,76076,76076
