iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
eus,28,0.6474489795918368,0.6190476190476191,bqb,Basque,Basque (Bidasoa Valley)
eve,9,0.6666666666666666,0.6666666666666666,evn,Tungusic,Even
evn,27,0.7477072310405644,0.7160493827160493,eve,Tungusic,Evenki
ewe,24,0.38506944444444446,0.32638888888888895,ewa,Kwa,Ewe (Anglo)
ewo,9,0.4444444444444444,0.4444444444444444,ewo,Bantoid,Ewondo
faa,4,1,1,fas,Fasu,Fasu
fao,3,0.33333333333333337,0.33333333333333337,far,Germanic,Faroese
fij,25,0.27919047619047616,0.22000000000000003,fij,Oceanic,Fijian
fin,26,0.477014652014652,0.4358974358974359,fin,Finnic,Finnish
fla,10,0.575,0.5714285714285714,kls,Interior Salish,Kalispel
fon,5,0.2,0.2,fon,Kwa,Fongbe
for,5,0.8,0.8,for,Eastern Highlands,Fore
fos,1,1,1,sry,East Formosan,Siraya
fqs,5,0.6,0.6,fqs,Baibai-Fas,Momu
fra,26,0.43411172161172157,0.3814102564102564,fre,Romance,French
frs,5,0.15,0.13333333333333333,fea,Germanic,Frisian (Eastern)
fry,1,0.125,0,frw,Germanic,Frisian (Western)
fub,16,0.7890625,0.7708333333333333,fua,Peul-Serer,Fulfulde (Adamawa)
fud,2,0.125,0,fue,Oceanic,Futuna (East)
fuf,1,1,1,fgu,Peul-Serer,Fula (Guinean)
fun,6,1,1,ful,Yatê,Fulniô
fut,11,0.1818181818181818,0.1818181818181818,fut,Oceanic,Futuna-Aniwa
fuu,7,0.5714285714285714,0.5714285714285714,bgr,Bongo-Bagirmi,Bagiro
fvr,15,0.5944444444444444,0.5285714285714286,fur,NA,Fur
gaa,6,0.5,0.5,ga,Kwa,Gã
gae,11,0.8181818181818181,0.8181818181818181,wrk,Alto-Orinoco,Warekena
gag,1,1,1,gag,Turkic,Gagauz
gah,10,1,1,gah,Eastern Highlands,Gahuku
gaj,7,0.8571428571428571,0.8571428571428571,gds,Eastern Highlands,Gadsup
gbd,4,0.75,0.75,krj,Western Pama-Nyungan,Karadjeri
gbi,1,0.25,0,gll,North Halmaheran,Galela
gbp,9,0.5,0.48148148148148145,gbb,Gbaya-Manza-Ngbaka,Gbeya Bossangoa
gbr,6,0.041666666666666664,0,gwa,Nupoid,Gwari
gbu,6,0.5833333333333334,0.5666666666666667,gaa,NA,Gaagudju
gcd,11,0.6363636363636364,0.6363636363636364,yuk,Tangkic,Yukulta
gdb,1,1,1,gdk,Central Dravidian,Gadaba (Kondekor)
gde,10,0.5333333333333333,0.5,gud,Biu-Mandara,Gude
gdm,8,0.5,0.5,laa,NA,Laal
gdo,8,0.8041666666666667,0.7291666666666666,god,Avar-Andic-Tsezic,Godoberi
gdq,11,0.5303030303030303,0.5272727272727273,meh,Semitic,Mehri
geb,1,1,1,kie,Mikarew,Kire
gey,2,1,1,eny,Bantoid,Enya
gge,3,0.7222222222222222,0.6666666666666666,grg,Burarran,Gurr-goni
ggn,9,0.4444444444444444,0.4444444444444444,NA,NA,NA
ggo,8,0.625,0.625,NA,NA,NA
ggw,2,1,1,gog,Gogodala,Gogodala
ghs,4,0.75,0.75,guh,Binanderean,Guhu-Samane
gil,19,0.4583333333333333,0.42105263157894735,krb,Oceanic,Kiribati
gis,2,0.5,0.5,NA,NA,NA
git,3,0.6666666666666666,0.6666666666666666,git,Tsimshianic,Gitksan
giz,2,0.5,0.5,NA,NA,NA
gju,2,1,1,goj,Indic,Gojri
gkn,9,0.2222222222222222,0.2222222222222222,gok,Cross River,Gokana
gla,11,0.4,0.38636363636363635,gae,Celtic,Gaelic (Scots)
gld,2,0.5833333333333333,0.41666666666666663,nai,Tungusic,Nanai
gle,21,0.38492063492063494,0.35600907029478457,ird,Celtic,Irish (Donegal)
glg,1,1,1,glc,Romance,Galician
glk,4,0.5,0.5,gil,Iranian,Gilaki
glu,6,0.16666666666666669,0.16666666666666669,gul,Bongo-Bagirmi,Gula (in Central African Republic)
glv,1,0.5,0.3333333333333333,mnx,Celtic,Manx
gmm,5,0.6,0.6,mdo,Gbaya-Manza-Ngbaka,Mbodomo
gmv,4,1,1,gam,North Omotic,Gamo
gni,23,0.6204968944099379,0.572463768115942,goo,Bunuban,Gooniyandi
gnn,1,1,1,gmt,Western Pama-Nyungan,Gumatj
gno,8,0.625,0.625,NA,NA,NA
gnr,6,0.6666666666666666,0.6666666666666666,ggu,Southeastern Pama-Nyungan,Gureng Gureng
god,1.5,0.65,0.625,ddj,Kru,Dadjriwalé
gol,1,1,1,gol,Mel,Gola
gpn,2,0.7,0.625,tap,Gapun,Taiap
gqa,3,1,1,gnd,Biu-Mandara,Ga'anda
grj,25,0.4651904761904762,0.41333333333333333,grb,Kru,Grebo
grt,23,0.6519151138716356,0.606832298136646,gar,Bodo-Garo,Garo
gru,3,1,1,sod,Semitic,Soddo
gso,6,0.6666666666666666,0.6666666666666666,gbs,Gbaya-Manza-Ngbaka,Gbaya (Southwest)
gta,1,1,1,gto,NA,Guató
gub,5,0.6,0.6,gjj,Tupi-Guaraní,Guajajara
guc,6,0.8333333333333334,0.8333333333333334,goa,Caribbean Arawakan,Goajiro
gug,23,0.4711697722567288,0.4144927536231884,gua,Tupi-Guaraní,Guaraní
gui,1,0.75,0.6666666666666666,crg,Tupi-Guaraní,Chiriguano
guj,7,0.5714285714285714,0.5714285714285714,guj,Indic,Gujarati
guk,8,0.78125,0.75,gmz,NA,Gumuz
gup,12,0.5944444444444444,0.5791666666666666,bbw,Gunwinygic,Bininj Gun-Wok
guz,1,1,1,gus,Bantoid,Gusii
gvf,9,0.5555555555555556,0.5555555555555556,gln,Chimbu,Golin
gvn,11,0.5606060606060606,0.5393939393939394,kya,Northern Pama-Nyungan,Kuku-Yalanji
gvo,2,0.5,0.5,gav,Monde,Gavião
gvr,9,0.4444444444444444,0.4444444444444444,NA,NA,NA
gvs,11,0.5454545454545454,0.5454545454545454,gmw,Oceanic,Gumawana
gwd,1,1,1,dug,Lowland East Cushitic,Dullay (Gollango)
gww,8,0.5,0.5,gnn,Worrorran,Gunin
gya,2,0.125,0,gbk,Gbaya-Manza-Ngbaka,Gbaya (Northwest)
gyb,3,0.6666666666666666,0.6666666666666666,grs,Madang,Garus
gyd,26,0.5466117216117216,0.47435897435897434,kay,Tangkic,Kayardild
gym,8,0.6354166666666666,0.5833333333333334,nbr,Guaymiic,Ngäbere
gyy,1,1,1,gny,Northern Pama-Nyungan,Gunya
had,15,0.4157142857142857,0.3466666666666666,hat,Hatam,Hatam
hae,27,0.4865961199294533,0.44435626102292775,orh,Lowland East Cushitic,Oromo (Harar)
hak,1,1,1,hak,Chinese,Hakka
har,1,1,1,hrr,Semitic,Harari
hau,28,0.3218962585034013,0.26488095238095244,hau,West Chadic,Hausa
haw,18,0.20555555555555555,0.16666666666666669,haw,Oceanic,Hawaiian
hax,22,0.5434523809523809,0.46969696969696967,NA,NA,NA
hay,5,0.9,0.8666666666666667,hya,Bantoid,Haya
hch,8,1,1,hui,Corachol,Huichol
hdn,22,0.5434523809523809,0.46969696969696967,hno,Haida,Haida (Northern)
heb,27,0.5291446208112875,0.47839506172839513,hba,Semitic,Hebrew (Modern Ashkenazic)
heh,2,1,1,heh,Bantoid,Hehe
hei,1,1,1,hei,Northern Wakashan,Heiltsuk
hem,1,1,1,hem,Bantoid,Hemba
her,2,0.5,0.5,her,Bantoid,Herero
hia,10,0.4666666666666667,0.46,lmg,Biu-Mandara,Lamang
hid,5,0.8,0.8,hid,Core Siouan,Hidatsa
hil,3,0.33333333333333337,0.33333333333333337,hil,Greater Central Philippine,Hiligaynon
hin,25,0.5307619047619048,0.4833333333333333,hin,Indic,Hindi
hix,27,0.489021164021164,0.4425925925925926,hix,Cariban,Hixkaryana
hke,10,0.8,0.8,hnd,Bantoid,Hunde
hla,9,0.4722222222222222,0.4444444444444444,hal,Oceanic,Halia
hmr,7,0.38095238095238093,0.37142857142857144,hma,Kuki-Chin,Hmar
hmt,15,0.7944444444444444,0.7666666666666667,ham,Angan,Hamtai
hna,4,0.25,0.25,hna,Biu-Mandara,Mina
hnh,4,0.41666666666666663,0.375,ani,Khoe-Kwadi,//Ani
hnj,24,0.14350198412698414,0.0486111111111111,NA,NA,NA
hoa,7,0.2857142857142857,0.2857142857142857,hoa,Oceanic,Hoava
hoc,5,0.8,0.8,ho,Munda,Ho
hoo,1,1,1,hol,Bantoid,Holoholo
hop,7,0.8571428571428571,0.8571428571428571,hop,Hopi,Hopi
hrc,3,0.16666666666666669,0.1111111111111111,tga,Oceanic,Tangga
hrv,15,0.44166666666666665,0.4380952380952381,NA,NA,NA
hsb,2,0.8333333333333333,0.8333333333333333,sou,Slavic,Sorbian (Upper)
hto,16,0.734375,0.7321428571428572,hmi,Huitoto,Huitoto (Minica)
hun,28,0.5581632653061225,0.5238095238095238,hun,Ugric,Hungarian
hup,8,0.625,0.625,hup,Athapaskan,Hupa
hur,4.5,0.35714285714285715,0.35714285714285715,hli,Central Salish,Halkomelem (Island)
hus,9,0.2222222222222222,0.2222222222222222,htc,Mayan,Huastec
huu,6,0.8333333333333334,0.8333333333333334,hum,Huitoto,Huitoto (Murui)
huv,12,0.5044642857142857,0.47222222222222227,hve,Huavean,Huave (San Mateo del Mar)
hux,1,0.6666666666666666,0.5,hmu,Huitoto,Huitoto (Muinane)
huz,23,0.727743271221532,0.7101449275362319,hzb,Avar-Andic-Tsezic,Hunzib
hvn,4,0.5083333333333333,0.33333333333333337,saw,Central Malayo-Polynesian,Sawu
hwc,3,0.5,0.4444444444444444,hwc,Creoles and Pidgins,Hawaiian Creole
hye,19,0.6832188644688644,0.6616300366300366,arm,Armenian,Armenian (Eastern)
iai,16,0.2234375,0.1875,iaa,Oceanic,Iaai
ian,1,1,1,iat,Ndu,Iatmul
iba,10,0,0,iba,Malayo-Sumbawan,Iban
ibd,2,1,1,iwa,Iwaidjan,Iwaidja
ibo,17,0.367156862745098,0.2941176470588235,igb,Igboid,Igbo
idu,2,0.25,0.16666666666666666,ido,Idomoid,Idoma
ifb,4,0.75,0.75,ifu,Northern Luzon,Ifugao (Batad)
ifm,3,0.33333333333333337,0.33333333333333337,ifm,Bantoid,Ifumu
igb,1,0,0,ebi,Nupoid,Ebira
ige,2,0.5,0.5,ige,Idomoid,Igede
ign,6,0.6666666666666666,0.6666666666666666,ign,Bolivia-Parana,Ignaciano
ihp,2,1,1,iha,West Bomberai,Iha
ijc,11,0.8106060606060606,0.7727272727272727,ijo,Ijoid,Ijo (Kolokuma)
ike,3,0.5833333333333334,0.5555555555555556,ins,Eskimo,Inuktitut (Salluit)
ikx,9,0.8055555555555556,0.7777777777777778,ik,Kuliak,Ik
ilb,6,1,1,ila,Bantoid,Ila
ilo,2,0.5625,0.5,ilo,Northern Luzon,Ilocano
imi,5,1,1,amx,Madang,Anamuxra
imn,24,0.4589781746031746,0.39186507936507936,imo,Border,Imonda
ind,28,0.336437074829932,0.26547619047619053,ind,Malayo-Sumbawan,Indonesian
inh,22,0.6563852813852814,0.6136363636363636,ing,Nakh,Ingush
inz,2,0.625,0.5,cin,Chumash,Chumash (Ineseño)
iqu,9,0.5462962962962963,0.5,iqu,Zaparoan,Iquito
irh,6,0.5,0.5,irr,South Halmahera - West New Guinea,Irarutu
irk,20,0.49916666666666665,0.4625000000000001,irq,Southern Cushitic,Iraqw
irn,6,0.5,0.5,irx,NA,Iranxe
isi,5,0.2,0.2,nke,Bantoid,Nkem
isl,19,0.43947368421052635,0.4172932330827067,ice,Germanic,Icelandic
ita,17,0.3848039215686274,0.3627450980392157,ifi,Romance,Italian (Fiorentino)
itl,10,0.52,0.5,ite,Southern Chukotko-Kamchatkan,Itelmen
ito,5,0.8,0.8,ito,NA,Itonama
its,3,0.08333333333333334,0,ise,Defoid,Isekiri
itz,3,0.6666666666666666,0.6666666666666666,itz,Mayan,Itzaj
ium,7,0,0,mie,Hmong-Mien,Mien
iwm,2,0.5,0.5,iwm,Upper Sepik,Iwam
ixl,2,1,1,ixi,Mayan,Ixil
izz,9,0.33333333333333337,0.33333333333333337,izi,Igboid,Izi
jaa,1,1,1,bna,Arauan,Banawá
jac,26,0.4603937728937729,0.42051282051282046,NA,NA,NA
jae,9,0.6388888888888888,0.6296296296296297,jab,Oceanic,Jabêm
jai,26,0.4603937728937729,0.42051282051282046,NA,NA,NA
jao,4,0.8333333333333334,0.8,yny,Western Pama-Nyungan,Yanyuwa
jaq,2,1,1,yqy,Marind,Yaqay
jar,4,0.5625,0.5,jar,Bantoid,Jarawa (in Nigeria)
jav,3,0.08333333333333334,0,jav,Javanese,Javanese
jbj,1,1,1,ard,South Bird's Head Proper,Arandai
jbt,1,1,1,jbt,Jabutí,Jabutí
jbu,8,0.125,0.125,juk,Platoid,Jukun
jeb,8,1,1,jeb,Cahuapanan,Jebero
jei,2,0.5,0.5,yei,Morehead and Upper Maro Rivers,Yei
jel,2,0.5,0.5,ylm,Bulaka River,Yelmek
jet,1,1,1,mem,Border,Manem
jic,2,0.6,0.5,tol,NA,Tol
jig,7,0.8095238095238095,0.8,dji,Djingili,Djingili
jiu,2,0,0,NA,NA,NA
jiv,8,0.8125,0.7916666666666666,jiv,Jivaroan,Jivaro
jiy,2,0,0,NA,NA,NA
jle,4,0.75,0.75,msk,Talodi,Masakin
jpn,27,0.47420634920634924,0.4095238095238095,jpn,NA,Japanese
jqr,13,0.8615384615384616,0.8461538461538461,jaq,Aymaran,Jaqaru
jup,6,0.8333333333333334,0.8333333333333334,hpd,Nadahup,Hup
jya,4.5,1,1,gyc,rGyalrong,Gyarong (Cogtse)
kaa,7,0.8571428571428571,0.8571428571428571,kkp,Turkic,Karakalpak
kab,1,0.5,0.3333333333333333,kbl,Berber,Kabyle
kac,10,0,0,jng,Jingpho,Jingpho
kah,6,0.6666666666666666,0.6666666666666666,kar,Bongo-Bagirmi,Kara (in Central African Republic)
kal,14,0.8472883597883598,0.8306878306878307,gre,Eskimo,Greenlandic (East)
kam,6,0.8333333333333334,0.8333333333333334,kba,Bantoid,Kamba
kan,26,0.6366300366300367,0.5967032967032967,knd,Southern Dravidian,Kannada
kao,5,0.2,0.2,xas,Western Mande,Xasonga
kap,1,1,1,bez,Avar-Andic-Tsezic,Bezhta
kaq,1,0.6666666666666666,0.5,cap,Panoan,Capanahua
kas,10,0.49000000000000005,0.46785714285714286,kas,Indic,Kashmiri
kat,25,0.6065714285714285,0.5619047619047619,geo,Kartvelian,Georgian
kay,12,0.7083333333333333,0.7,kma,Tupi-Guaraní,Kamaiurá
kaz,1,0,0,kaz,Turkic,Kazakh
kbc,5,0.85,0.8,kdw,Kadiwéu,Kadiwéu
kbd,8,1,1,kab,Northwest Caucasian,Kabardian
kbh,5,1,1,cam,NA,Camsá
kbk,3,0.5,0.4444444444444444,koi,Koiarian,Koiari
kbl,5,1,1,kbu,Western Saharan,Kanembu
kbp,2,0.5,0.5,kby,Southern-Central Gur,Kabiyé
kbv,4,0.8571428571428572,0.8571428571428572,der,Senagi,Dla (Proper)
kbx,2,1,1,kbo,Botin,Kambot
kca,13,0.5673076923076923,0.5604395604395604,kty,Ugric,Khanty
kcd,1,0.25,0,knp,Morehead and Upper Maro Rivers,Kanum (Ngkâlmpw)
kcg,3,0.33333333333333337,0.33333333333333337,gwo,Platoid,Gworok
kcn,1,1,1,nub,Creoles and Pidgins,Nubi
kcr,6,0.8333333333333334,0.8333333333333334,ktl,Katla-Tima,Katla
kct,2,0.5,0.5,kai,Lower Ramu,Kaian
kcu,1,1,1,kmi,Bantoid,Kami
kcv,2,0.5,0.5,kte,Bantoid,Kete
kdd,2,1,1,ynk,Western Pama-Nyungan,Yankuntjatjara
kde,2,1,1,mkd,Bantoid,Makonde
kdh,4,0.8125,0.75,tem,Southern-Central Gur,Tem
kdj,9,0.5555555555555556,0.5555555555555556,kmj,Nilotic,Karimojong
kdr,1,1,1,krm,Turkic,Karaim
kee,7,0.8571428571428571,0.8571428571428571,ksa,Keresan,Keresan (Santa Ana)
kei,1,0.25,0,kei,Central Malayo-Polynesian,Kei
ken,1,1,1,kyg,Bantoid,Kenyang
ker,16,0.40625,0.34375,ker,East Chadic,Kera
ket,24,0.585515873015873,0.548611111111111,ket,Yeniseian,Ket
kew,25,0.5641904761904761,0.5152380952380953,NA,NA,NA
kfa,3,0.8333333333333334,0.8,kod,Southern Dravidian,Kodava
kfb,13,0.6461538461538462,0.6346153846153846,NA,NA,NA
kfc,1,1,1,kda,South-Central Dravidian,Konda
kff,6,1,1,koy,South-Central Dravidian,Koya
kfk,6,0.6666666666666666,0.6666666666666666,knn,Bodic,Kinnauri
kfq,7,0.6428571428571429,0.6285714285714286,kku,Munda,Korku
kfy,4,0.75,0.75,kum,Indic,Kumauni
kfz,23,0.3829710144927536,0.34057971014492755,kfe,Northern-Central Gur,Koromfe
kgg,2,1,1,kus,NA,Kusunda
kgj,11,0.8181818181818182,0.8181818181818182,kmh,Mahakiranti,Kham
kgo,25,0.4304761904761905,0.38857142857142857,kro,Kadugli,Krongo
kgp,3,0.33333333333333337,0.33333333333333337,kng,Ge-Kaingang,Kaingang
kgq,5,1,1,kmr,Asmat-Kamoro,Kamoro
kgr,10,0.075,0,abu,North-Central Bird's Head,Abun
kgs,8,0.625,0.625,gum,Southeastern Pama-Nyungan,Gumbaynggir
kgy,3,1,1,kgy,Bodic,Kyirong
kha,22,0.20243506493506497,0.14015151515151514,khs,Khasian,Khasi
khc,26,0.4094780219780219,0.36538461538461536,NA,NA,NA
khd,2,0.5,0.5,knb,Morehead and Upper Maro Rivers,Kanum (Bädi)
khe,10,0.85,0.84,krw,Awju-Dumut,Korowai
khg,2,1,1,khd,Bodic,Kham (Dege)
khk,27,0.5164462081128748,0.4552028218694885,kha,Mongolic,Khalkha
khl,11,0.6363636363636364,0.6363636363636364,kkv,Oceanic,Lusi
khm,22,0.20037878787878785,0.1181818181818182,khm,Khmer,Khmer
khq,13,0.163003663003663,0.11538461538461538,kch,Songhay,Koyra Chiini
khr,6,0.33333333333333337,0.33333333333333337,khr,Munda,Kharia
khw,1,1,1,khw,Indic,Khowar
kic,1,0,0,kic,Algonquian,Kickapoo
kig,7,0.10714285714285714,0.047619047619047616,kim,Kolopom,Kimaghama
kij,22,0.49204545454545456,0.45454545454545453,klv,Oceanic,Kilivila
kik,11,0.7045454545454546,0.6969696969696969,kik,Bantoid,Kikuyu
kin,6,0.6875,0.6666666666666666,kin,Bantoid,Kinyarwanda
kio,24,0.7103174603174603,0.6666666666666666,kio,Kiowa-Tanoan,Kiowa
kir,8,0.775,0.75,kfy,Turkic,Kirghiz (Fu-Yu)
kjc,1,1,1,kjo,South Sulawesi,Konjo
kjd,6,0.75,0.7222222222222222,kiw,Kiwaian,Kiwai (Southern)
kjg,19,0.10219298245614035,0.01315789473684211,kmu,Khmuic,Khmu'
kjh,3,0.4,0.33333333333333337,khk,Turkic,Khakas
kjj,5,0.8,0.8,khi,Lezgic,Khinalug
kjn,1,1,1,kjn,Northern Pama-Nyungan,Kunjen
kjq,25,0.5268095238095238,0.4773333333333333,aco,Keresan,Acoma
kjs,25,0.5641904761904761,0.5152380952380953,NA,NA,NA
kju,1,1,1,ksh,Pomoan,Kashaya
kki,4,1,1,kgr,Bantoid,Kagulu
kkk,9,0.11111111111111109,0.11111111111111109,kkt,Oceanic,Kokota
kkl,4,1,1,yal,Mek,Yale (Kosarek)
kky,11,0.503030303030303,0.45454545454545453,guu,Northern Pama-Nyungan,Guugu Yimidhirr
kla,10,0.55,0.5333333333333333,klm,Klamath-Modoc,Klamath
klb,7,0.8571428571428571,0.8571428571428571,klw,Yuman,Kiliwa
kld,10,0.5,0.5,gml,Southeastern Pama-Nyungan,Gamilaraay
kle,4,1,1,klg,Mahakiranti,Kulung
klj,11,0.5636363636363636,0.5454545454545454,khl,Turkic,Khalaj
kln,14,0.7627551020408163,0.7380952380952381,nan,Nilotic,Nandi
klq,6,0.5,0.5,rum,Turama-Kikorian,Rumu
klr,9,0.7777777777777778,0.7777777777777778,khg,Mahakiranti,Khaling
kls,1,1,1,klh,Indic,Kalasha
klu,2,0.5,0.5,kla,Kru,Klao
kma,7,0.7142857142857143,0.7142857142857143,kni,Northern-Central Gur,Konni
kmc,4,0.14375,0,don,Kam-Tai,Dong (Southern)
kmg,2,0.41666666666666663,0.26666666666666666,kat,Finisterre-Huon,Kâte
kmh,2,0.5,0.5,klq,Madang,Kalam
kmj,2,0.375,0.2,mto,Northern Dravidian,Malto
kmn,12,0.4652777777777778,0.41666666666666663,awt,Ram,Awtuw
kmo,9,0.5555555555555556,0.5555555555555556,kwo,Nukuma,Kwoma
kmr,5,0.7,0.6666666666666666,kji,Iranian,Kurmanji
kms,7,0.2857142857142857,0.2857142857142857,kmz,Marienberg,Kamasau
kna,11,0.6363636363636364,0.6060606060606061,knk,West Chadic,Kanakuru
knc,26,0.6519230769230769,0.6172161172161172,knr,Western Saharan,Kanuri
kng,16,0.5494791666666666,0.5104166666666667,fio,Bantoid,Fiote
knj,1,1,1,kwe,Mayan,Kanjobal (Western)
knm,6,0.6666666666666666,0.6666666666666666,cnm,Katukinan,Canamarí
knn,2,0.75,0.6666666666666666,kkn,Indic,Konkani
kny,1,1,1,kyo,Bantoid,Kanyok
koe,1,1,1,blj,Surmic,Baale
koi,7,0.8571428571428571,0.8571428571428571,kop,Permic,Komi-Permyak
kor,25,0.45952380952380956,0.3952380952380952,kor,NA,Korean
kos,11,0.28409090909090906,0.2727272727272727,kos,Oceanic,Kosraean
kot,6,0.8333333333333334,0.8333333333333334,lag,Biu-Mandara,Lagwan
koy,1,0,0,kyn,Athapaskan,Koyukon
kpj,3,1,1,jva,Karajá,Karajá
kpm,2,0.5,0.5,sre,Bahnaric,Sre
kpo,3,1,1,kpo,Kwa,Kposo
kps,1,0.5,0.3333333333333333,tht,West Bird's Head,Tehit
kpt,1,0.5,0.3333333333333333,krt,Avar-Andic-Tsezic,Karata
kpv,3,0.41666666666666663,0.33333333333333337,kzy,Permic,Komi-Zyrian
kpw,22,0.49583333333333335,0.44242424242424244,kob,Madang,Kobon
kpx,7,1,1,kmo,Koiarian,Koiali (Mountain)
kpy,7,0.5714285714285714,0.5714285714285714,kry,Northern Chukotko-Kamchatkan,Koryak
kpz,3,1,1,seb,Nilotic,Sebei
kqi,5,1,1,kta,Koiarian,Koita
kqs,13,0.45787545787545786,0.4358974358974359,NA,NA,NA
kqz,13,0.4038461538461539,0.38461538461538464,krn,Khoe-Kwadi,Korana
krc,9,0.7777777777777778,0.7777777777777778,krc,Turkic,Karachay-Balkar
krk,1,1,1,krq,Northern Chukotko-Kamchatkan,Kerek
krs,8,0.5,0.5,kre,Kresh,Kresh
ksb,7,0.8571428571428571,0.8571428571428571,shm,Bantoid,Shambala
ksd,11,0.15151515151515152,0.13636363636363635,tla,Oceanic,Tolai
ksf,2,0.5,0.5,bfi,Bantoid,Bafia
ksi,8,0.125,0.125,isa,Krisa,I'saka
kss,13,0.45787545787545786,0.4358974358974359,kss,Mel,Kisi (Southern)
kst,1,0.5,0.3333333333333333,kow,Southern-Central Gur,Ko (Winye)
ksw,7,0.04081632653061225,0.023809523809523808,ksg,Karen,Karen (Sgaw)
ktd,6,0.75,0.7222222222222222,gug,Western Pama-Nyungan,Gugada
ktg,5,0.8333333333333334,0.78,kgu,Northern Pama-Nyungan,Kalkatungu
ktn,1,0.6666666666666666,0.5,kna,Arikem,Karitiâna
kto,8,0.5,0.5,kuo,NA,Kuot
ktw,1,1,1,kto,Athapaskan,Kato
ktz,25,0.25166666666666665,0.18666666666666665,juh,Ju-Kung,Ju|'hoan
kue,5,0.8,0.8,kmn,Chimbu,Kuman
kum,1,1,1,kuq,Turkic,Kumyk
kun,18,0.7314814814814815,0.6970899470899471,knm,NA,Kunama
kup,8,0.875,0.875,kmp,Goilalan,Kunimaipa
kut,28,0.3572704081632653,0.31190476190476196,kut,NA,Kutenai
kuy,2,0.5,0.5,kuu,Northern Pama-Nyungan,Kuuku Ya'u
kuz,1,1,1,atm,Kunza,Atacameño
kva,1,1,1,bgv,Avar-Andic-Tsezic,Bagvalal
kvd,1,0.5,0.3333333333333333,kiu,Greater Alor,Kui (in Indonesia)
kvg,4,0.875,0.8333333333333334,boa,Marind,Boazi
kvn,1,1,1,kun,Kuna,Kuna
kvv,1,1,1,koo,Central Malayo-Polynesian,Kola
kvw,1,0.25,0,kln,Kolana-Tanglapui,Kolana
kwa,3,1,1,daw,Nadahup,Dâw
kwd,7,0.27380952380952384,0.22857142857142856,kwa,Oceanic,Kwaio
kwi,25,0.609904761904762,0.5599999999999999,awp,Barbacoan,Awa Pit
kwk,5,1,1,kwk,Northern Wakashan,Kwakw'ala
kwn,9,0.5555555555555556,0.5555555555555556,kwn,Bantoid,Kwangali
kwo,8,0.625,0.625,kwt,NA,Kwomtari
kwy,3,0.6666666666666666,0.6666666666666666,kwy,Bantoid,Iwoyo
kxa,9,0.33333333333333337,0.33333333333333337,krr,Oceanic,Kairiru
kxu,6,0.41666666666666663,0.3888888888888889,kui,South-Central Dravidian,Kui (in India)
kxv,7,0.8571428571428571,0.8571428571428571,kuv,South-Central Dravidian,Kuvi
kyc,8,0.5,0.5,kyk,Engan,Kyaka
kyh,23,0.5959109730848862,0.5414078674948241,krk,NA,Karok
kyq,6,0.6666666666666666,0.6666666666666666,ken,Bongo-Bagirmi,Kenga
kyx,1,0.5,0.3333333333333333,knu,West Bougainville,Konua
kyz,4,0.75,0.75,kyz,Tupi-Guaraní,Kayabí
kza,7,0.6428571428571429,0.6190476190476191,tny,Senufo,Tenyer
kzj,3,0.33333333333333337,0.33333333333333337,kdz,North Borneo,Kadazan
kzw,7,0.8214285714285714,0.8095238095238095,kri,Kariri,Kipea
lac,5,0.6,0.6,lac,Mayan,Lacandón
lad,1,1,1,lno,Romance,Ladino
lae,4,1,1,ptt,Bodic,Pattani
laf,2,0.5,0.5,laf,Lafofa,Lafofa
lag,2,1,1,lgi,Bantoid,Langi
laj,26,0.4639652014652015,0.4128205128205128,lan,Nilotic,Lango
lam,3,0.33333333333333337,0.33333333333333337,lmb,Bantoid,Lamba
lao,12,0.020833333333333332,0,lao,Kam-Tai,Lao
lav,25,0.5243333333333333,0.4861904761904762,lat,Baltic,Latvian
laz,2,1,1,ari,Oceanic,Aribwatsa
lbe,11,0.6257575757575757,0.5833333333333334,lak,Lak-Dargwa,Lak
lbj,18,0.8050925925925926,0.753968253968254,lad,Bodic,Ladakhi
lbu,1,0,0,lab,Oceanic,Labu
lbz,1,1,1,lrd,Tangkic,Lardil
lch,3,1,1,luc,Bantoid,Lucazi
lcm,4,0,0,tnk,Oceanic,Tungak
lea,5,0.8,0.8,leg,Bantoid,Lega
lec,6,1,1,lec,NA,Leko
led,7,0.5714285714285714,0.5714285714285714,ldu,Lendu,Lendu
lef,9,0.5555555555555556,0.5555555555555556,llm,Kwa,Lelemi
lep,21,0.31507936507936507,0.26077097505668934,lep,Lepcha,Lepcha
les,3,1,1,les,Mangbutu-Efe,Lese
lez,28,0.5679421768707483,0.5059523809523809,lez,Lezgic,Lezgian
lgg,10,0.48333333333333334,0.4466666666666667,lug,Moru-Ma'di,Lugbara
lgu,9,0.2222222222222222,0.2222222222222222,lgu,Oceanic,Longgu
lhm,3,1,1,lho,Bodic,Lhomi
lhu,14,0.12738095238095237,0.07142857142857144,lah,Burmese-Lolo,Lahu
lif,13,0.8269230769230769,0.8205128205128205,lim,Mahakiranti,Limbu
lil,5,1,1,lil,Interior Salish,Lillooet
lin,7,0.3928571428571429,0.38095238095238093,lin,Bantoid,Lingala
lis,2,0,0,lis,Burmese-Lolo,Lisu
lit,15,0.65,0.6476190476190476,lit,Baltic,Lithuanian
liy,8,0.15625,0.125,lnd,Ubangi,Linda
