iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
bae,8,0.8958333333333334,0.8666666666666667,bae,Inland Northern Arawakan,Baré
bag,3,1,1,tki,Bantoid,Tuki
bak,12,0.6666666666666667,0.6666666666666667,bsk,Turkic,Bashkir
bam,13,0.46474358974358976,0.38461538461538464,bam,Western Mande,Bambara
ban,4,0.5,0.5,bal,Malayo-Sumbawan,Balinese
bas,2,0.5,0.5,bas,Bantoid,Basaá
bav,11,0.3939393939393939,0.36363636363636365,bab,Bantoid,Babungo
baw,3,0.33333333333333337,0.33333333333333337,mbi,Bantoid,Mbili
bbb,9,0.6944444444444444,0.6666666666666666,NA,NA,NA
bbc,9,0.2222222222222222,0.2222222222222222,bto,Northwest Sumatra-Barrier Islands,Batak (Toba)
bbd,2,1,1,bau,Madang,Bau
bbl,8,0.625,0.625,ttu,Nakh,Tsova-Tush
bbn,7,0.14285714285714288,0.14285714285714288,NA,NA,NA
bbo,2,0.5,0.5,bbf,Western Mande,Bobo Madaré (Northern)
bca,6,0,0,bai,Bai,Bai
bci,2,0.5,0.5,ble,Kwa,Baule
bck,3,1,1,bnb,Bunuban,Bunuba
bcl,6,0.33333333333333337,0.33333333333333337,bkl,Greater Central Philippine,Bikol
bcm,7,0.42857142857142855,0.42857142857142855,bnn,Oceanic,Banoni
bco,2,1,1,kll,Bosavi,Kaluli
bcq,9,0.75,0.746031746031746,gim,North Omotic,Gimira
bdh,5,0.2,0.2,bka,Bongo-Bagirmi,Baka (in South Sudan)
bdk,2,0.5,0.5,bdk,Lezgic,Budukh
bdl,4,0.5,0.5,baj,Sama-Bajaw,Bajau (Sama)
bdm,9,0.6666666666666666,0.6666666666666666,bud,Biu-Mandara,Buduma
bdr,8,0.125,0.125,bwc,Sama-Bajaw,Bajau (West Coast)
bds,9,0.7407407407407407,0.7222222222222222,brn,Southern Cushitic,Burunge
bdu,4,1,1,bkn,Bantoid,Bakundu
bdy,5,0.9270833333333333,0.8958333333333333,bca,Southeastern Pama-Nyungan,Bandjalang (Casino)
bee,10,0.5666666666666667,0.55,bya,Bodic,Byansi
bef,1,0,0,beb,Eastern Highlands,Benabena
bej,25,0.6698095238095239,0.6223809523809524,bej,Beja,Beja
bel,4,0.75,0.75,blr,Slavic,Belorussian
bem,4,0.75,0.75,bem,Bantoid,Bemba
